Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Factory and Manufacturer,Jakarta,0,1,4500000,5500000
Factory and Manufacturer,Jakarta,1,3,8000000,14000000
Factory and Manufacturer,Jawa,5,10,17000000,25000000
Factory and Manufacturer,Jakarta,1,3,5000000,7000000
Factory and Manufacturer,Jakarta,1,3,3000000,4500000
Factory and Manufacturer,Jakarta,0,1,4500000,7000000
Sales,Jawa,0,1,1500000,1500000
Factory and Manufacturer,Jawa,3,5,8000000,12000000
Factory and Manufacturer,Jakarta,1,3,3800000,5000000
Hospitality & Travel,Jawa,1,3,5000000,8000000
Internet & New Media,Jawa,1,3,6000000,7000000
Factory and Manufacturer,Jakarta,0,1,2500000,5000000
"Accounting, Finance, Banking",Jakarta,1,3,5000000,7000000
Internet & New Media,,1,3,5000000,7000000
Factory and Manufacturer,Jawa,3,5,10000000,15000000
Hospitality & Travel,Jakarta,5,10,8000000,15000000
Other,Jakarta,0,1,4750000,5000000
Business,Jakarta,5,10,8000000,15000000
Factory and Manufacturer,Sumatera,5,10,18000000,20000000
Other,Jakarta,1,3,4000000,4500000
Factory and Manufacturer,Sumatera,3,5,10000000,20000000
Factory and Manufacturer,Jakarta,3,5,7000000,10000000
Factory and Manufacturer,Bali dan Nusa Tenggara,3,5,7000000,10000000
Marketing,Jawa,1,3,4000000,4500000
Factory and Manufacturer,Jakarta,3,5,4000000,6000000
"Accounting, Finance, Banking",Jakarta,3,5,7000000,10000000
Factory and Manufacturer,Jawa,0,1,1000000,1500000
Data Analyst & Data Science,Jakarta,0,1,2000000,5000000
Hospitality & Travel,Jakarta,1,3,3000000,5000000
Business,Jakarta,1,3,3900000,4200000
Human Resources & General Affair,Jakarta,0,1,2000000,2500000
Public Relation,Jawa,1,3,3500000,3500000
Factory and Manufacturer,Jawa,1,3,45000000,65000000
Human Resources & General Affair,Jakarta,1,3,4000000,4500000
Business,Jakarta,0,1,3000000,3200000
"Accounting, Finance, Banking",Jakarta,0,1,4500000,5000000
Business,Jakarta,1,3,3500000,8000000
Sales,Jakarta,1,3,3500000,8000000
Administration,Jakarta,1,3,3500000,8000000
Business,Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jawa,1,3,3500000,8000000
"Accounting, Finance, Banking",Jakarta,1,3,3500000,8000000
Sales,Jakarta,1,3,3500000,8000000
Art & Design,Jawa,1,3,3500000,8000000
Internet & New Media,Jakarta,1,3,3500000,8000000
Business,Jakarta,1,3,3500000,8000000
Other,Sumatera,1,3,3500000,8000000
Other,Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jawa,1,3,3500000,8000000
Factory and Manufacturer,Jawa,1,3,3500000,8000000
Internet & New Media,Jawa,1,3,3500000,8000000
Factory and Manufacturer,Jawa,1,3,3500000,8000000
Hospitality & Travel,Jakarta,1,3,3500000,8000000
"Accounting, Finance, Banking",Jakarta,1,3,3500000,8000000
Factory and Manufacturer,Jakarta,1,3,3500000,8000000
Sales,Jakarta,1,3,3500000,8000000
Sales,Jakarta,1,3,6000000,8000000
Internet & New Media,Jawa,1,3,3500000,8000000
Business,Sumatera,1,3,3500000,8000000
Factory and Manufacturer,Kalimantan,1,3,5000000,7000000
Internet & New Media,Jakarta,1,3,5000000,7000000
Factory and Manufacturer,Jakarta,1,3,3500000,3500000
Internet & New Media,Jawa,1,3,15000000,28000000
Sales,Jakarta,1,3,3500000,100000000
Factory and Manufacturer,Jakarta,1,3,2000000,3000000
Sales,Jakarta,0,1,1000000,1000000
Factory and Manufacturer,Jakarta,0,1,6000000,10000000
Factory and Manufacturer,Jawa,1,3,2500000,2500100
Marketing,Jakarta,1,3,2000000,3000000
Sales,Jakarta,1,3,8000000,10000000
Factory and Manufacturer,Bali dan Nusa Tenggara,1,3,5000000,10000000
Hospitality & Travel,Jawa,0,1,6000000,8000000
Administration,Jawa,1,3,5000000,6000000
Factory and Manufacturer,Jawa,1,3,5000000,7500000
Factory and Manufacturer,Bali dan Nusa Tenggara,1,3,4000000,4000000
Sales,Jawa,0,1,17000000,17000000
"Accounting, Finance, Banking",Jawa,0,1,5000000,17000000
Internet & New Media,Bali dan Nusa Tenggara,1,3,5000000,6000000
Business,Jawa,1,3,5000000,6000000
Journalistic and Entertainment,Jakarta,3,5,10000000,25000000
Internet & New Media,Jawa,0,1,4000000,5000000
Factory and Manufacturer,Jawa,3,5,15000000,20000000
Factory and Manufacturer,Jawa,0,1,4000000,5000000
"Accounting, Finance, Banking",Jakarta,3,5,20000000,25000000
Public Relation,Jawa,1,3,4300000,6500000
Art & Design,Jakarta,1,3,4500000,7000000
Research & Development,Jawa,1,3,3000000,5000000
Factory and Manufacturer,Jakarta,1,3,8000000,12000000
Factory and Manufacturer,Jakarta,1,3,5236906.805851247,7331669.528191745
Other,Jawa,1,3,4000000,6000000
"Accounting, Finance, Banking",Jakarta,1,3,2500000,5000000
Other,Jakarta,5,10,10000000,12000000
Factory and Manufacturer,Jakarta,1,3,1000000,1000000
Factory and Manufacturer,Jawa,5,10,25000000,30000000
Administration,Jakarta,3,5,12000000,15000000
"Accounting, Finance, Banking",Sulawesi,1,3,5500000,7000000
Internet & New Media,Sumatera,3,5,30000000,45000000
Other,Jakarta,3,5,5000000,10000000
Hospitality & Travel,Jawa,1,3,4000000,7000000
Business,Jakarta,5,10,8000000,10000000
Sales,Jawa,0,1,6000000,8000000
Business,Jakarta,1,3,4000000,7000100
"Accounting, Finance, Banking",Jakarta,3,5,8000000,9000000
Data Analyst & Data Science,Jakarta,1,3,2000000,3500000
Art & Design,Jakarta,3,5,7000000,8000000
Factory and Manufacturer,Jakarta,1,3,6000000,7000000
Internet & New Media,Jakarta,1,3,3000000,4500000
Art & Design,Jawa,3,5,6000000,8000000
Factory and Manufacturer,Jakarta,0,1,5000000,5000000
Factory and Manufacturer,Jawa,3,5,6000000,8000000
Business,Jawa,1,3,10000000,20000000
"Accounting, Finance, Banking",Sumatera,1,3,8000000,11000000
Art & Design,Kalimantan,1,3,8000000,11000000
Factory and Manufacturer,Jawa,3,5,15000000,20000000
Business,Jawa,1,3,5000000,6500000
Factory and Manufacturer,Jakarta,0,1,1500000,1500000
Internet & New Media,Jawa,1,3,7000000,9000000
Hospitality & Travel,Jakarta,1,3,4500000,6000000
Factory and Manufacturer,Jakarta,3,5,16000000,24000000
Data Analyst & Data Science,Kalimantan,3,5,16000000,24000000
Data Analyst & Data Science,Jakarta,1,3,3000000,4000000
Internet & New Media,Jawa,1,3,4000000,8000000
Sales,Jawa,3,5,5000000,10000000
Security,Jawa,1,3,8000000,15000000
Other,Jakarta,1,3,3000000,4000000
Internet & New Media,Sumatera,1,3,3000000,4000000
Administration,Jakarta,0,1,2100000,4500000
Journalistic and Entertainment,Jawa,0,1,6500000,7500000
Administration,Jakarta,0,1,1400000,1400000
Sales,Jakarta,1,3,5000000,6000000
Art & Design,Jakarta,0,1,5500000,8500000
Hospitality & Travel,Jakarta,1,3,5000000,6000000
Internet & New Media,Jakarta,0,1,5000000,7000000
Art & Design,Jakarta,1,3,2000000,5000000
Art & Design,Jawa,5,10,57724905.374716125,72156131.71839516
Art & Design,Jakarta,0,1,6000000,8000000
Internet & New Media,Jawa,1,3,4500000,7000000
Marketing,Jakarta,1,3,4500000,5000000
Factory and Manufacturer,Jakarta,1,3,2000000,4000000
Internet & New Media,Jakarta,3,5,22120000,51500000
Factory and Manufacturer,Jakarta,1,3,3000000,4000000
Factory and Manufacturer,Jawa,0,1,5000000,7000000
Journalistic and Entertainment,Jawa,3,5,6000000,7500000
Factory and Manufacturer,Jakarta,0,1,2000000,3000000
Administration,Jawa,0,1,2000000,3000000
Sales,Jakarta,1,3,4500000,6000000
Public Relation,Jakarta,1,3,7500000,10000000
Data Analyst & Data Science,Jakarta,0,1,4750000,6500000
Research & Development,Jakarta,1,3,6000000,9000000
Business,Jawa,0,1,4500000,8000000
Sales,Jakarta,0,1,5000000,6000000
Data Analyst & Data Science,Jakarta,0,1,2000000,2500000
Internet & New Media,Jakarta,0,1,6000000,9000000
Journalistic and Entertainment,Jakarta,3,5,6000000,10000000
Other,Jakarta,0,1,4000000,6000000
Internet & New Media,Jawa,1,3,7000000,7000000
Factory and Manufacturer,Jakarta,0,1,5000000,10000000
Sales,Jawa,0,1,6000000,12000000
Factory and Manufacturer,Jakarta,1,3,4000000,5000000
Public Relation,Jakarta,1,3,3000000,3500000
Administration,Jakarta,0,1,2500000,3000000
Factory and Manufacturer,Jakarta,1,3,4500000,5000000
Factory and Manufacturer,Jawa,1,3,4500000,5000000
Education,Jawa,1,3,3500000,6000000
Factory and Manufacturer,Jawa,1,3,4000000,6000000
Factory and Manufacturer,Jawa,1,3,3000000,3500000
Factory and Manufacturer,Jakarta,1,3,12988103.709311128,21646839.51551855
Internet & New Media,Jakarta,1,3,12988103.709311128,21646839.51551855
Health,Jakarta,1,3,12988103.709311128,21646839.51551855
Hospitality & Travel,Jakarta,1,3,12988103.709311128,21646839.51551855
Factory and Manufacturer,Jakarta,0,1,2850000,4000000
Business,Jakarta,1,3,3500000,4000000
Art & Design,Bali dan Nusa Tenggara,0,1,8000000,10000000
Art & Design,Bali dan Nusa Tenggara,0,1,3000000,4000000
Art & Design,Jakarta,1,3,5000000,5500000
"Accounting, Finance, Banking",Jawa,1,3,4300000,5000000
Hospitality & Travel,Jakarta,1,3,1500000,5000000
Art & Design,Jakarta,1,3,5000000,9000000
Sales,Jakarta,1,3,5000000,9000000
Internet & New Media,Jakarta,1,3,12000000,15000000
Factory and Manufacturer,Jakarta,1,3,3500000,5000000
Sales,Jawa,1,3,14000000,17000000
Factory and Manufacturer,Jawa,5,10,41895254.44680998,94264322.50532244
Sales,Sumatera,1,3,3500000,5000000
Sales,Sumatera,3,5,7000000,12000000
Hospitality & Travel,Sumatera,1,3,40000000,40000000
Other,Sumatera,0,1,4000000,5200000
Factory and Manufacturer,Jakarta,5,10,20000000,25000000
Hospitality & Travel,Jawa,0,1,5000000,7500000
Art & Design,Jawa,0,1,2500000,3500000
Internet & New Media,Jakarta,1,3,4000000,4500000
Internet & New Media,Jakarta,3,5,4000000,10000000
Public Relation,Jawa,1,3,3500000,5000000
Art & Design,Jakarta,1,3,3800000,4500000
Consultant,Jawa,0,1,7000000,10000000
Factory and Manufacturer,Jawa,0,1,7000000,8000000
Factory and Manufacturer,Jakarta,1,3,3800000,4500000
Factory and Manufacturer,Jakarta,1,3,5000000,6500000
Business,Jakarta,1,3,5000000,5000000
Sales,Jawa,3,5,10000000,25000000
Other,Jawa,0,1,5000000,7000000
"Accounting, Finance, Banking",Jakarta,1,3,4453935,6235509
Sales,Jawa,3,5,8000000,10000000
Sales,Jawa,1,3,4453935,6235509
"Accounting, Finance, Banking",Jakarta,1,3,3700000,4500000
"Accounting, Finance, Banking",Jakarta,1,3,8000000,17000000
Art & Design,Jakarta,1,3,2500000,3500000
Factory and Manufacturer,Jakarta,0,1,1500000,15000000
Sales,Jakarta,1,3,3000000,5000000
Human Resources & General Affair,Jawa,0,1,4000000,4500000
Factory and Manufacturer,Jakarta,0,1,4000000,4500000
Sales,Jakarta,1,3,4000000,5000000
Business,Jawa,0,1,5000000,8000000
Factory and Manufacturer,Jakarta,0,1,5500000,7500000
Data Analyst & Data Science,Jakarta,1,3,4000000,5000000
Factory and Manufacturer,Jakarta,1,3,5000000,8000000
Hospitality & Travel,Jakarta,1,3,10000000,15000000
Data Analyst & Data Science,Jakarta,1,3,5000000,10000000
Factory and Manufacturer,Jakarta,1,3,2000000,6000000
Internet & New Media,Sumatera,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,3,5,5500000,8500000
Journalistic and Entertainment,Jakarta,0,1,6000000,10000000
Internet & New Media,Jakarta,1,3,4000000,5000000
"Accounting, Finance, Banking",Jakarta,0,1,3000000,3500000
Factory and Manufacturer,Jakarta,1,3,5000000,10000000
Sales,Jawa,1,3,4000000,8000000
Business,Jakarta,3,5,25000000,30000000
Factory and Manufacturer,Jakarta,0,1,500000,1000000
Research & Development,Jakarta,0,1,4000000,6000000
Internet & New Media,Jakarta,0,1,3800000,5000000
Public Relation,Jawa,1,3,4000000,6000000
Research & Development,Jakarta,1,3,4000000,10000000
Hospitality & Travel,Sumatera,1,3,3000000,3000000
"Accounting, Finance, Banking",Jakarta,0,1,4000000,4600000
Other,Jakarta,3,5,30000000,32000000
Sales,Jakarta,3,5,28000000,33000000
Data Analyst & Data Science,Jakarta,1,3,4500000,5500000
Art & Design,Jakarta,5,10,17000000,22000000
Marketing,Jakarta,1,3,7000000,15000000
Factory and Manufacturer,Jakarta,0,1,5000000,7000000
Internet & New Media,Jakarta,3,5,8000000,9000000
Art & Design,Jakarta,1,3,4000000,4642000
"Accounting, Finance, Banking",Jakarta,3,5,7000000,7000000
Data Analyst & Data Science,Jakarta,1,3,2000000,3500000
Sales,Jakarta,0,1,2000000,3000000
Factory and Manufacturer,Jakarta,1,3,2500000,3000000
Marketing,Jawa,1,3,10000000,60000000
Internet & New Media,Jakarta,0,1,2000000,4000000
Public Relation,Sumatera,0,1,4800000,4800000
Factory and Manufacturer,Jakarta,1,3,4000000,6500000
Factory and Manufacturer,Jakarta,0,1,4000000,5500000
Factory and Manufacturer,Jawa,1,3,2500000,25000100
Factory and Manufacturer,Jawa,0,1,4000000,4500000
Factory and Manufacturer,Jakarta,1,3,4500000,4500000
Factory and Manufacturer,Kalimantan,0,1,5500000,6000000
Other,Bali dan Nusa Tenggara,3,5,8000000,10000000
Art & Design,Jakarta,1,3,10000000,19000000
Business,Jakarta,1,3,3500000,4250000
Research & Development,Jawa,0,1,2500000,3000000
Factory and Manufacturer,Jakarta,1,3,6000000,7000000
Factory and Manufacturer,Jawa,0,1,4500000,7000000
Human Resources & General Affair,Jakarta,0,1,5500000,7000000
Factory and Manufacturer,Jawa,1,3,7500000,9500000
"Accounting, Finance, Banking",Jakarta,1,3,8000000,15000000
Sales,Jawa,1,3,3500000,4700000
Administration,Jawa,0,1,4000000,5000000
Marketing,Jawa,3,5,11000000,20000000
Factory and Manufacturer,Jakarta,5,10,15595050.787374735,20793401.04983298
Factory and Manufacturer,Jakarta,1,3,5000000,6500000
Business,Jakarta,0,1,4500000,6000000
Business,Jakarta,1,3,2000000,10000000
Internet & New Media,Jawa,5,10,1000000,30000000
Internet & New Media,Jawa,1,3,2500000,4500000
Factory and Manufacturer,Jakarta,1,3,3500000,5000000
Art & Design,Jawa,1,3,3500000,5000000
Data Analyst & Data Science,Jakarta,0,1,2700000,10000000
Hospitality & Travel,Jawa,0,1,3400000,10000000
Public Relation,Jakarta,1,3,3000000,5000000
Factory and Manufacturer,Jakarta,1,3,7000000,7000000
Internet & New Media,Jakarta,1,3,3000000,4500000
"Accounting, Finance, Banking",Jawa,0,1,4500000,8000000
Business,Jakarta,1,3,6000000,12000000
Factory and Manufacturer,Jakarta,0,1,4000000,7000000
"Accounting, Finance, Banking",Jakarta,0,1,4500000,5000000
Art & Design,Jakarta,0,1,4000000,6000000
Factory and Manufacturer,Jakarta,0,1,4000000,6000000
Factory and Manufacturer,Jawa,3,5,10000000,20000000
"Accounting, Finance, Banking",Jawa,0,1,4000000,10000000
Sales,Jawa,0,1,4000000,10000000
Internet & New Media,Jawa,3,5,4000000,6000000
Art & Design,Jakarta,1,3,10000000,15000000
Business,Jakarta,1,3,10000000,15000000
Marketing,Jawa,1,3,2835021,3969030
Marketing,Jakarta,0,1,4000000,6000000
Factory and Manufacturer,Jawa,3,5,8000000,14000000
Factory and Manufacturer,Bali dan Nusa Tenggara,0,1,4000000,4500000
Factory and Manufacturer,Jawa,0,1,4000000,4500000
Factory and Manufacturer,Kalimantan,0,1,6000000,8000000
Internet & New Media,Jakarta,0,1,6000000,8000000
Factory and Manufacturer,Jakarta,0,1,6000000,8000000
Factory and Manufacturer,Jakarta,5,10,20000000,50000000
Art & Design,Jakarta,1,3,4650000,7000000
Public Relation,Jakarta,1,3,5000000,7000000
"Accounting, Finance, Banking",Jawa,1,3,2000000,3000000
Factory and Manufacturer,Jawa,1,3,5000000,5500000
Internet & New Media,Jakarta,3,5,20000000,35000000
Internet & New Media,Jawa,1,3,4000000,4500000
Factory and Manufacturer,Jakarta,3,5,5000000,10000000
Sales,Jakarta,1,3,4499800,4499800
Factory and Manufacturer,Jakarta,1,3,24089771.306915734,27231915.390426483
Administration,Jakarta,0,1,4500000,7000000
Other,Jawa,0,1,500000,3500000
Factory and Manufacturer,Jawa,1,3,5000000,7000000
Public Relation,Jakarta,3,5,15000000,20000000
Data Analyst & Data Science,Jakarta,3,5,15000000,20000000
Education,Jakarta,3,5,8000000,12000000
Art & Design,Sumatera,1,3,8000000,12000000
Factory and Manufacturer,Jawa,0,1,1999999,2000000
Factory and Manufacturer,Jakarta,1,3,4000000,5500000
Business,Jawa,0,1,4000000,4500000
Other,Jawa,1,3,3500000,4500000
Health,Jakarta,3,5,12500000,24000000
Human Resources & General Affair,Jakarta,1,3,3000000,5000000
Sales,Jawa,3,5,12000000,24000000
Factory and Manufacturer,Jawa,3,5,4000000,5000000
"Accounting, Finance, Banking",Jakarta,1,3,4000000,6000000
Internet & New Media,Jakarta,1,3,4000000,6000000
Data Analyst & Data Science,Jakarta,5,10,5000000,10000000
Sales,Jakarta,1,3,7000000,9000000
Sales,Jawa,1,3,6000000,8000000
Data Analyst & Data Science,Jakarta,3,5,5500000,6000000
Marketing,Jawa,1,3,3000000,3500000
Factory and Manufacturer,Jakarta,1,3,4500000,6000000
Hospitality & Travel,Jawa,1,3,3000000,3500000
Factory and Manufacturer,Jakarta,0,1,5000000,6000000
Hospitality & Travel,Jawa,3,5,20000000,25000000
Business,Jakarta,3,5,8500000,14000000
Internet & New Media,Jawa,0,1,4000000,4400000
Sales,Jawa,3,5,25000000,35000000
Other,Jakarta,1,3,3500000,4500000
Art & Design,Jakarta,0,1,5000000,8000000
Art & Design,Jawa,3,5,15000000,20000000
Administration,Jakarta,0,1,3000000,5000000
Art & Design,Jakarta,0,1,4500000,8500000
Factory and Manufacturer,Sumatera,0,1,5000000,8000000
Other,Jawa,0,1,5000000,8000000
Other,Sumatera,1,3,5000000,7000000
Human Resources & General Affair,Jakarta,0,1,4300000,5000000
Hospitality & Travel,Jakarta,1,3,4000000,5500000
Factory and Manufacturer,Jawa,0,1,1500000,2500000
Business,Sumatera,0,1,500000,3500000
Sales,Jawa,0,1,500000,3500000
Sales,Jawa,1,3,1500000,3000000
Sales,Jakarta,1,3,5000000,7000000
Other,Jakarta,0,1,4500000,8000000
Art & Design,Jawa,1,3,6000000,10000000
Sales,Jakarta,0,1,4400000,8000000
Factory and Manufacturer,Jakarta,1,3,10000000,15000000
Factory and Manufacturer,Jakarta,0,1,3500000,5000000
Administration,Jawa,0,1,4250000,4750000
Art & Design,Jakarta,1,3,10000000,15000000
Internet & New Media,Kalimantan,0,1,4500000,7000000
Marketing,Jawa,3,5,25000000,30000000
Factory and Manufacturer,Jawa,0,1,4500000,6500000
Factory and Manufacturer,Jakarta,0,1,4000000,5000000
Hospitality & Travel,Jawa,0,1,5000000,7000000
Factory and Manufacturer,Jakarta,0,1,4500000,6000000
Factory and Manufacturer,Jakarta,0,1,4500000,8000000
Art & Design,Jawa,1,3,4500000,6500000
"Accounting, Finance, Banking",Jawa,3,5,6000000,10000000
Marketing,Jawa,1,3,5000000,6000000
Factory and Manufacturer,Jakarta,10,20,50000000,70000000
Factory and Manufacturer,Jawa,3,5,15000000,30000000
Internet & New Media,Jawa,1,3,4600000,4800000
"Accounting, Finance, Banking",Jakarta,0,1,1500000,2500000
Other,Jakarta,0,1,5000000,7000000
Factory and Manufacturer,Jawa,0,1,5000000,6000000
Journalistic and Entertainment,Jakarta,0,1,2000000,4500000
Business,Jakarta,3,5,10000000,15000000
Factory and Manufacturer,Jakarta,0,1,4231000,8000000
Factory and Manufacturer,Jakarta,3,5,22000000,55000000
Business,Jawa,0,1,5000000,7000000
Human Resources & General Affair,Jawa,5,10,40000000,50000000
Business,Jakarta,1,3,6000000,8000000
Factory and Manufacturer,Jawa,1,3,4500000,5000000
Public Relation,Jakarta,1,3,4640000,5000000
Sales,Jakarta,1,3,4640000,5000000
Factory and Manufacturer,Jawa,0,1,3500000,5000000
"Accounting, Finance, Banking",Jakarta,0,1,1500000,2000000
Hospitality & Travel,Jawa,1,3,3500000,4000000
Administration,Jakarta,0,1,4000000,6000000
Factory and Manufacturer,Jawa,1,3,5000000,6000000
Factory and Manufacturer,Jawa,1,3,21646839.51551855,28862452.687358063
Other,Jakarta,0,1,5000000,7000000
Hospitality & Travel,Jawa,10,20,45000000,55000000
Hospitality & Travel,Jakarta,0,1,3000000,4000000
Other,Jawa,0,1,4000000,5000000
Research & Development,Jakarta,1,3,4000000,5000000
Factory and Manufacturer,Jakarta,0,1,3200000,7000000
Internet & New Media,Jakarta,0,1,3200000,7000000
Data Analyst & Data Science,Jakarta,0,1,3200000,7000000
Art & Design,Jawa,0,1,2000000,2500000
Internet & New Media,Jawa,0,1,4500000,5000000
Sales,Bali dan Nusa Tenggara,1,3,4500000,4800000
Human Resources & General Affair,Jawa,1,3,12000000,12000000
Sales,Jakarta,1,3,5000000,6000000
"Accounting, Finance, Banking",Jakarta,1,3,10000000,10000000
Factory and Manufacturer,Jakarta,3,5,4000000,4500000
Public Relation,Jakarta,1,3,8000000,13000000
Research & Development,Jakarta,1,3,7000000,7000000
Factory and Manufacturer,Jawa,3,5,28862452.687358063,43293679.0310371
Internet & New Media,Jakarta,0,1,5000000,5250000
Public Relation,Jakarta,3,5,6000000,9000000
Sales,Jakarta,0,1,1000000,2000000
"Accounting, Finance, Banking",Jawa,5,10,40000000,50000000
Data Analyst & Data Science,Jakarta,3,5,7000000,9000000
Internet & New Media,Jakarta,0,1,3000000,4000000
Art & Design,Jakarta,0,1,4500000,4800000
Human Resources & General Affair,Jawa,0,1,4000000,4000000
Factory and Manufacturer,Jawa,1,3,3000000,3500000
Sales,Jakarta,3,5,5000000,7000000
Factory and Manufacturer,Jawa,1,3,6000000,8000000
Research & Development,Jakarta,1,3,4000000,5000000
Business,Jakarta,1,3,3500000,4500000
"Accounting, Finance, Banking",Jakarta,1,3,5000000,8000000
"Accounting, Finance, Banking",Jakarta,1,3,12500000,20000000
Internet & New Media,Jawa,0,1,4500000,5500000
Marketing,Jakarta,0,1,4000000,7500000
Other,Jawa,1,3,4500000,5500000
Other,Jakarta,0,1,3500000,4000000
Art & Design,Jakarta,0,1,4500000,5000000
Consultant,Jawa,1,3,20000000,30000000
Administration,Jawa,3,5,25000000,45000000
Business,Jakarta,5,10,8000000,10000000
Business,Jawa,1,3,8000000,12000000
Marketing,Sulawesi,1,3,2750000,3500000
"Accounting, Finance, Banking",Jakarta,1,3,10000000,20000000
Factory and Manufacturer,Jakarta,0,1,2500000,5000000
Asuransi,Jakarta,0,1,2500000,5000000
Business,Jawa,0,1,2000000,5000000
Factory and Manufacturer,Jawa,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,0,1,3500000,4000000
Factory and Manufacturer,Sumatera,1,3,7000000,7000000
Factory and Manufacturer,Jakarta,1,3,5000000,10000000
Business,Jakarta,0,1,5000000,6000000
Internet & New Media,Jakarta,0,1,3000000,6500000
Internet & New Media,Jawa,0,1,4500000,5200000
Journalistic and Entertainment,Sumatera,0,1,4500000,4800000
Business,Jawa,0,1,4500000,6000000
Art & Design,Jakarta,0,1,3000000,8000000
Art & Design,Jawa,0,1,4500000,6000000
Factory and Manufacturer,Jakarta,5,10,20000000,40000000
Hospitality & Travel,Jawa,1,3,10000000,25000000
Internet & New Media,Jawa,3,5,1000000,15000000
Sales,Jakarta,1,3,15000000,15000000
Factory and Manufacturer,Jakarta,0,1,5000000,6000000
Internet & New Media,Jawa,0,1,5000000,6000000
Journalistic and Entertainment,Jakarta,0,1,4000000,7000000
Research & Development,Jakarta,1,3,7000000,8500000
Public Relation,Jakarta,0,1,4500000,6000000
Factory and Manufacturer,Jakarta,3,5,5000000,7000000
Business,Jakarta,1,3,5000000,15000000
Research & Development,Jakarta,1,3,6000000,9500000
Factory and Manufacturer,Jakarta,0,1,4500000,6000000
Factory and Manufacturer,Jakarta,0,1,5000000,6000000
Other,Bali dan Nusa Tenggara,0,1,4000000,7000000
Other,Jawa,0,1,1500000,3000000
Internet & New Media,Jakarta,0,1,4200000,5000000
Internet & New Media,Jawa,3,5,7000000,9000000
Art & Design,Jakarta,1,3,7000000,14000000
Factory and Manufacturer,Jawa,1,3,5000000,6500000
Factory and Manufacturer,Jawa,0,1,4650000,6000000
Internet & New Media,Jakarta,0,1,4700000,6000000
Factory and Manufacturer,Jawa,0,1,4600000,6000000
Factory and Manufacturer,Jawa,1,3,6500000,15000000
Factory and Manufacturer,Jawa,5,10,30000000,40000000
Marketing,Jakarta,3,5,7000000,10000000
Sales,Jawa,0,1,4000000,5000000
Business,Jakarta,0,1,5000000,5500000
Human Resources & General Affair,Jakarta,0,1,4500000,6000000
Marketing,Jakarta,1,3,3900000,4600000
Sales,Jawa,0,1,4500000,6000000
Marketing,Jawa,1,3,3500000,5000000
Factory and Manufacturer,Jakarta,0,1,2500000,3500000
Public Relation,Bali dan Nusa Tenggara,1,3,5000000,8000000
Sales,Jakarta,1,3,2500000,2700000
Sales,Sumatera,0,1,4500000,5000000
Factory and Manufacturer,Jakarta,0,1,4000000,5000000
Factory and Manufacturer,Jawa,1,3,8000000,10000000
Data Analyst & Data Science,Jakarta,1,3,4000000,6000000
Internet & New Media,Jakarta,0,1,5000000,5500000
Factory and Manufacturer,Jawa,5,10,10000000,15000000
Internet & New Media,Jawa,1,3,15000000,18000000
Other,Jakarta,1,3,8000000,12000000
Internet & New Media,Jawa,0,1,2000000,4000000
Business,Jakarta,3,5,7000000,14000000
Sales,Jakarta,3,5,27000000,32000000
Human Resources & General Affair,Jawa,1,3,5000000,10000000
Other,Jawa,1,3,10000000,10000000
Research & Development,Jawa,0,1,1500000,2500000
Art & Design,Jakarta,1,3,8600000,10620000
"Accounting, Finance, Banking",Jakarta,0,1,4500000,6000000
Marketing,Jawa,0,1,4454000,5700000
Sales,Jakarta,1,3,4600000,5000000
Administration,Jawa,0,1,4500000,6000000
Administration,Jawa,1,3,4000000,7000000
Administration,Jakarta,3,5,7000000,10000000
Factory and Manufacturer,Jakarta,1,3,4000000,7000000
"Accounting, Finance, Banking",Jakarta,0,1,4000000,6000000
Factory and Manufacturer,Jawa,1,3,4500000,7500000
Factory and Manufacturer,Jakarta,0,1,4000000,6000000
Business,Jakarta,1,3,3900000,4200000
Administration,Jawa,1,3,4000000,6000000
Administration,Jakarta,3,5,25000000,40000000
Hospitality & Travel,Jakarta,1,3,9000000,9000000
Factory and Manufacturer,Jakarta,3,5,7000,10500
"Accounting, Finance, Banking",Jakarta,0,1,3600000,4500000
Factory and Manufacturer,Jakarta,1,3,15000000,20000000
Internet & New Media,Jawa,3,5,15000000,20000000
Art & Design,Jawa,0,1,4500000,5500000
Factory and Manufacturer,Jakarta,3,5,10000000,15000000
Other,Jawa,1,3,5000000,7000000
Factory and Manufacturer,Jakarta,0,1,2000000,8000000
Other,Jawa,0,1,3000000,6000000
Sales,Jakarta,0,1,4500000,5500000
Sales,Jawa,0,1,4000000,5000000
Sales,Jakarta,0,1,4300000,4500000
Art & Design,Jakarta,3,5,12000000,15000000
Factory and Manufacturer,Jakarta,1,3,10000000,18000000
Art & Design,Jakarta,0,1,1800000,2300000
Other,Jawa,0,1,4000000,6000000
Hospitality & Travel,Jakarta,0,1,3500000,3750000
Other,Jakarta,0,1,4500000,5500000
