Job,Province,Min_Years,Max_Years,Min_Salary,Max_Salary
Other,Bali dan Nusa Tenggara,0,0,10000000,15000000
Education,Jawa,0,1,5000000,7000000
Marketing,Jakarta,0,0,3200000,4400000
Sales,Jawa,0,1,7000000,8000000
Data Analyst & Data Science,Other,0,0,7000000,30000000
Factory and Manufacturer,Sumatera,0,0,4600000,6000000
Factory and Manufacturer,Jawa,0,0,4000000,4377231
Marketing,Jawa,0,1,6000000,20000000
Data Analyst & Data Science,Jawa,0,0,2835021,3000000
Consultant,Jawa,0,0,4000000,10000000
Sales,Jakarta,0,0,10000000,18000000
Consultant,Jakarta,0,1,10000000,15000000
Other,Jawa,0,1,6000000,30000000
Other,Sumatera,0,0,4000000,10000000
Consultant,Jawa,0,0,10000000,11000000
Business,Sulawesi,0,0,3294467,3300000
Consultant,Jakarta,0,0,10000000,12000000
Consultant,Sumatera,0,0,500000,10000000
Other,Jakarta,0,1,5000000,7000000
Factory and Manufacturer,Sulawesi,0,0,3200000,5000000
Sales,Jawa,0,1,5000000,7000000
Consultant,Jawa,0,0,4700000,6700000
Art & Design,Jawa,0,0,4700000,6700000
Consultant,Jawa,0,1,4700000,6700000
Sales,Bali dan Nusa Tenggara,0,0,2900000,4000000
Hospitality & Travel,Jawa,0,1,4000000,6000000
Other,Jakarta,0,0,6000000,10000000
Sales,Jakarta,0,0,8000000,12000000
Other,Jakarta,0,1,4600000,5300000
Art & Design,Jakarta,0,0,10000000,18000000
Marketing,Kalimantan,0,0,9000000,10000000
Education,Kalimantan,0,0,9000000,10000000
Hospitality & Travel,Jawa,0,0,2000000,2150000
Other,Jakarta,0,0,4000000,5000000
Education,Jawa,0,0,4700000,6700000
Factory and Manufacturer,Sumatera,0,0,3500000,4500000
Sales,Jakarta,0,0,4500000,5000000
Factory and Manufacturer,Jawa,0,1,2000000,4000000
Marketing,Sumatera,0,1,500000,10000000
Art & Design,Jakarta,0,1,10000000,15000000
Administration,Jakarta,0,1,4500000,5000000
Sales,Jawa,0,0,4700000,6700000
Hospitality & Travel,Jakarta,0,1,5000000,7000000
