Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Teknisi Komputer & Printer Manado,Mission Consultancy Services Malaysia SDN BHD,"TI, Administrator",head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Account Executive Sales DOD,PT Karya Bintang Gemilang,Pemasaran Internet,Mission Consultancy Services Malaysia Sdn Bhd (1157703-H) - Prov. DKI-Jakarta,IDR 20.000.000 - 30.000.000,Setidaknya 1 tahun
Team Leader - Sales ( Sleman ),PT Era Mulya Citra Warna,Administrasi,head office - Bogor,Gaji Kompetitif,2 tahun
Project Engineer,PT Sejahtera Mitra Solusi,Administrasi,PURWOKERTO - Purwokerto,Gaji Kompetitif,3 tahun
APOTEKER PENANGGUNG JAWAB,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Cirebon - Cirebon,Gaji Kompetitif,3 tahun
"SAS 9.3/9.4 Administrator (Working in Kuala Lumpur, Malaysia)",PT Transpasific Finance,Penjualan dan Pemasaran,Probolinggo - Probolinggo,Gaji Kompetitif,Setidaknya 1 tahun
SOCIAL MEDIA SPECIALIST (DIGITAL MARKETING),Power Vision,"Akuntansi, Keuangan",Branch Bekasi - Bekasi,IDR 4.700.000 - 6.700.000,Setidaknya 1 tahun
DIBUTUHKAN ADMIN GUDANG PENEMPATAN PURWOKERTO,PT Intrias Mandiri Sejati (IMS),Pemasaran (Teknis),Power Vision - Jakarta Barat,IDR 6.000.000 - 15.000.000,0 tahun
HR Recruitment,PT BSR Indonesia,Kolektor,head office - Prov. DKI-Jakarta,IDR 4.000.000 - 4.600.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Probolinggo,PT BSR Indonesia,Periklanan / Promosi,Jakarta Barat - Prov. DKI-Jakarta,IDR 2.000.000 - 5.000.000,2 tahun
Credit Marketing Officer (CMO) - Bekasi,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,Yogyakarta - Prov. DI-Yogyakarta,IDR 1.800.000 - 2.100.000,Setidaknya 1 tahun
Marketing associate,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,JEMBER - Jember,Gaji Kompetitif,Setidaknya 1 tahun
Appraiser(Sell In),CICA Fashion Thrift,Kreatif / Desain,Branch Office Bandung - Bandung,IDR 3.000.000 - 3.800.000,Setidaknya 1 tahun
Retention,PT Catur Adhi Manunggal,Penjualan dan Pemasaran,head office - Bandung,Gaji Kompetitif,2 tahun
Digital Telesales Marketing,"Keding Enterprises Co., Ltd",Penjualan dan Pemasaran,head office - Semarang,Gaji Kompetitif,Setidaknya 1 tahun
BRANCH MANAGER JEMBER,Chang Sung Precision Indonesia,Komunikasi,Jakarta - Prov. DKI-Jakarta,IDR 6.000.000 - 19.500.000,0 tahun
Marketing (Area Jawa Barat),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Cikarang,IDR 5.000.000 - 20.000.000,2 tahun
Content Creator Sosial Media,PT Optima Prima Indonesia,"TI, Administrator",Singaraja - ,Gaji Kompetitif,0 tahun
Supervisor Sales Counter,PT Mobile Sarana Sentosa,Pekerjaan Umum,head office - Jakarta Selatan,Gaji Kompetitif,5 tahun
Outside Sales Representative,PT Rekso Nasional Food (McDonald's Indonesia),Operasi Restoran,head office - Jakarta Barat,Gaji Kompetitif,0 tahun
HRD,PT Daya5 Rekrutmen,"TI, Administrator",Makassar - Makassar,Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Singaraja,PT Anak Panah Perkasa,Arsitek,Jatim - Surabaya,Gaji Kompetitif,0 tahun
IT,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Barat,Gaji Kompetitif,0 tahun
Business Analyst,PT ODG Indonesia,"Teknik, Elektro ",Gresik - Gresik,Gaji Kompetitif,3 tahun
Trainee Manager - Based Makassar,Dokter Anggi Dental Clinic,Fotografer,Head Office - Jakarta Selatan,IDR 8.000.000 - 9.000.000,Setidaknya 1 tahun
IT Database Administrator Officer,PT Karya Sejati Makmur Surabaya,Sumber Daya Manusia,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Architect,PT Usaha Gunabhakti Mandiri,Penjualan dan Pemasaran,head office - Surabaya,IDR 4.000.000 - 7.000.000,5 tahun
Field Education Consultant (FEC) - Gresik,PT Archipelago Queen,Juru Masak,Jakarta - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Electrical Estimator,PT Elabram Systems,"Teknik, Telekomunikasi",head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Photographer & Videographer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 8.000.000 - 15.000.000,Setidaknya 1 tahun
Recruitment,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Tuban - Tuban,Gaji Kompetitif,2 tahun
Telesales,Pawoon,Penjualan dan Pemasaran,Situbondo - ,Gaji Kompetitif,2 tahun
Cook Kitchen,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Yogyakarta - Yogyakarta,Gaji Kompetitif,0 tahun
Wireless Optimization Engineer/RF Engineer,PT Asuransi Jiwa Astra,"TI, Network Engineer",Sidoarjo - Sidoarjo,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Tuban,PT Puriasri Bhaktikarya,"TI, Network Engineer",head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Situbondo,PT Domba Mas Indonesia,Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,IDR 25.000.000 - 30.000.000,0 tahun
Sales Executive (Yogyakarta),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Barat,Gaji Kompetitif,4 tahun
Field Education Consultant (FEC) - Sidoarjo,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Batam - Batam,Gaji Kompetitif,2 tahun
Area Sales Manager - Financial Network Advisor,PT Asiadaya Abadi,Manajemen Operasional,Bangka Belitung - Prov. Sumatera Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Project Manager IT,PT Intrias Mandiri Sejati (IMS),Penjualan dan Pemasaran,Pati - Pati,Gaji Kompetitif,0 tahun
SALES,PT Mitracomm Ekasarana Business Process Service,Komunikasi,JAYAPURA - Prov. Papua,IDR 4.500.000 - 5.000.000,0 tahun
Field Education Consultant (FEC) - Batam,Yayasan Tadika Puri,Penjualan dan Pemasaran,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Bangka Belitung,PT Mitra Kreasi Nusantara Sejahtera,Transportasi,Makassar City - Makassar,Gaji Kompetitif,Setidaknya 1 tahun
Resto Manager ,PT Raja Ampat Biodiversity,"Akuntansi, Keuangan",head office - Jakarta Selatan,IDR 4.300.000 - 4.500.000,6 tahun
AREA NEW RETAIL OPERATIONS,PT Catur Adhi Manunggal,Audit Intern / Pengawasan,head office - Prov. Papua,Gaji Kompetitif,3 tahun
CUSTOMER SERVICE PROVIDER BANDUNG,PT Olsera Indonesia Pratama,Penjualan dan Pemasaran,head office - Semarang,Gaji Kompetitif,0 tahun
MANAGER MARKETING ONLINE,PT Mitra Elang Bersatu,Telemarketing,Branch Office Makassar - Makassar,IDR 2.800.000 - 3.500.000,2 tahun
Kurir Sim C aktif,PT Swapro International,Penjualan dan Pemasaran,head office - Jakarta Barat,IDR 1.500.000 - 3.000.000,2 tahun
Accountant / HR Staff,PT Sinergi Cipta Ananta (Baroroh Elbariah),Management Trainee,All Jabodetabek - Prov. DKI-Jakarta,IDR 4.000.000 - 4.600.000,Setidaknya 1 tahun
Koordinator Internal Audit,CV Agrosari,Manajemen Merk / Produk,FP One - Jakarta Pusat,IDR 6.000.000 - 30.000.000,0 tahun
Marketing (Area Sulawesi),Imperium Enterprise LLC,Penerjemah,Agrosari (Kupang) - Kupang,Gaji Kompetitif,0 tahun
Telemarketing,PT. Timurraya Karunia Multi,Manajemen Pabrik,head office - Di luar Indonesia,IDR 55.665.000 - 66.798.000,3 tahun
Sales Multiguna,PT Breindo Jaya Teknik,Pemasaran (Teknis),Factory - Cikarang,Gaji Kompetitif,3 tahun
Leader Prudential,PERSOLKELLY Recruitment Indonesia,Penjualan dan Pemasaran,head office - Bekasi,IDR 5.000.000 - 10.000.000,7 tahun
Kepala Farm,PT Elabram Systems,"Teknik, Telekomunikasi",head office - Prov. DKI-Jakarta,IDR 7.000.000 - 12.000.000,2 tahun
Finance Manager,PT Catur Adhi Manunggal,"Akuntansi, Keuangan",Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 12.000.000 - 30.000.000,2 tahun
Personal Asisstant,PT Mitracomm Ekasarana Business Process Service,Administrasi,head office - Semarang,Gaji Kompetitif,5 tahun
Sales Engineer,PT Bahtera Pesat Lintasbuana,Kurir,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",Gaji Kompetitif,3 tahun
Area Sales Manager Denpasar,PT Axiasolusi Indonesia,"TI, Web Developer",Banjarmasin - Banjarmasin,IDR 2.300.000 - 6.000.000,Setidaknya 1 tahun
IP Engineer,PT Star Threesixty,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,6 tahun
Staff Account Payable,PT Alpha Accelerator (Talent Search Recruitment-Indonesia),Merchandiser,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
ADMIN IT BALI,PT Samudra Maju Perkasa,Manajemen Operasional,head office - Jakarta Pusat,IDR 7.000.000 - 8.000.000,Setidaknya 1 tahun
Pramubakti,PT Bahtera Pesat Lintasbuana,Telemarketing,PT Berlian Duta Energi Site Kaubun - Samarinda,IDR 9.000.000 - 10.000.000,Setidaknya 1 tahun
Front-End Programmer,PT BSR Indonesia,Penjualan dan Pemasaran,Jakarta - Prov. DKI-Jakarta,IDR 4.600.000 - 5.000.000,2 tahun
Sales Excecutive E-commerce ,PT BSR Indonesia,Penjualan dan Pemasaran,head office - Jakarta Pusat,IDR 2.200.000 - 4.000.000,2 tahun
Merchandiser Executive,PT Optima Prima Indonesia,Pengembangan Bisnis,Yogyakarta - Prov. DI-Yogyakarta,IDR 1.800.000 - 4.500.000,Setidaknya 1 tahun
FOREMAN PRODUKSI / PLANT / TYRE,PT Mitracomm Ekasarana Business Process Service,Layanan Pelanggan,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Telemarketing ,PT Herbacore,Tidak disebutkan,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",Gaji Kompetitif,0 tahun
SALES IN HOUSE DTD ,PT Intrias Mandiri Sejati (IMS),Penjualan (Non-Teknis),head office - Gresik,Gaji Kompetitif,3 tahun
Telesales Yogyakarta,PT Hoco Asia Industry,"Teknik, Keselamatan",head office - Prov. DKI-Jakarta,IDR 4.400.000 - 4.600.000,0 tahun
Business Development Executive,PT BSR Indonesia,Penjualan dan Pemasaran,Warehouse (Cikande) - Serang,Gaji Kompetitif,2 tahun
ECARE,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Sumatera Selatan - Prov. Sumatera Utara,Gaji Kompetitif,Setidaknya 1 tahun
SPV. PRODUKSI,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Dumai - ,Gaji Kompetitif,Setidaknya 1 tahun
Sell Out/ Sales Showroom,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bukittinggi - Bukittinggi,Gaji Kompetitif,Setidaknya 1 tahun
HSE (CIKANDE),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Binjai - Binjai,Gaji Kompetitif,0 tahun
Telemarketing Palembang,PT Spectra Solusi Global,"TI, Network Engineer",Jember - Jember,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Dumai,PERSOLKELLY Recruitment Indonesia,Penjualan dan Pemasaran,head office - Jakarta Timur,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Bukittinggi,PT BSR Indonesia,"Teknik, Komputer",Prov. Kalimantan Timur - Prov. Kalimantan Timur,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Binjai,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Pusat,Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Jember,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Karo - ,Gaji Kompetitif,3 tahun
IT Engineer,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,Bengkulu - Bengkulu,Gaji Kompetitif,Setidaknya 1 tahun
Area Sales Manager (ASM Balikpapan),CV Agrosari,Manajemen Merk / Produk,KARAWANG - Karawang,Gaji Kompetitif,0 tahun
Mobile Developer,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Agrosari (Kupang) - Kupang,Gaji Kompetitif,0 tahun
Field Education Consultant (FEC) - Karo,Confidential Company,Penjualan (Teknis),bandung - Bandung,Gaji Kompetitif,2 tahun
Field Education Consultant (FEC) - Bengkulu,PT Era Mulya Citra Warna,Administrasi,head office - Prov. DKI-Jakarta,IDR 3.000.000 - 4.000.000,Setidaknya 1 tahun
BRANCH MANAGER CIKAMPEK,PT BSR Indonesia,Sumber Daya Manusia,KARAWANG - Karawang,Gaji Kompetitif,0 tahun
Supervisor Gudang,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Bali - Denpasar,Gaji Kompetitif,Setidaknya 1 tahun
Sales & Marketing Executive - Bandung dan Sekitar,PT Catur Adhi Manunggal,Penjualan dan Pemasaran,Kisaran - ,Gaji Kompetitif,Setidaknya 1 tahun
SPG,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,head office - Semarang,Gaji Kompetitif,Setidaknya 1 tahun
DIBUTUHKAN ADMIN PENEMPATAN PURWAKARTA,PT Elabram Systems,"TI, Network Engineer",PURWOKERTO - Purwokerto,Gaji Kompetitif,0 tahun
Representative Officer,PT BSR Indonesia,Telemarketing,head office - Jakarta Pusat,IDR 15.000.000 - 18.000.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Kisaran,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Palembang - Palembang,IDR 2.000.000 - 3.000.000,Setidaknya 1 tahun
Salesman,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Kotabumi - ,Gaji Kompetitif,5 tahun
SALES SUPERVISOR PURWOKERTO,Appinzpire,Sumber Daya Manusia,Surabaya - Surabaya,Gaji Kompetitif,0 tahun
IT Infrastructure Manager,PT Era Mulya Citra Warna,"Akuntansi, Keuangan",Head Office - Jakarta Barat,Gaji Kompetitif,0 tahun
Telemarketing cab. Palembang,Ziel Kids,Manufaktur dan Produksi,Head Office - Bogor,IDR 3.000.000 - 3.500.000,0 tahun
Field Education Consultant (FEC) - Kotabumi,PT Smart Multi Finance,Penjualan dan Pemasaran,head office - Jakarta Utara,IDR 6.000.000 - 8.000.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Surabaya,PT Easy Management Systems,Magang,Head Office - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
Tech Recruiter,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,GoWork Menara Standard Chartered - Coworking and Office Space - Jakarta Selatan,IDR 1.000.000 - 2.000.000,2 tahun
STAFF KEUANGAN,PT Multireka Surya Utama,"Teknik, Sipil",Bogor - Bogor,Gaji Kompetitif,Setidaknya 1 tahun
Merchandiser ,PT Daya5 Rekrutmen,Merchandiser,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
Credit Marketing Officer (Tangerang),PT Global Sarana Sukses,Sumber Daya Manusia,Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Intern - Growth Marketing,PT Globe Intertrans,Penjualan dan Pemasaran,Yogyakarta - Yogyakarta,IDR 3.000.000 - 5.000.000,2 tahun
Team Leader - Sales ( Bogor ),PT Bahtera Pesat Lintasbuana,Penjualan dan Pemasaran,Globe Rent A Car  Jakarta Office - Jakarta Pusat,Gaji Kompetitif,3 tahun
Mekanikal Elektrikal,PT Sinar Alumsarana,Manufaktur dan Produksi,Bandung - Bandung,IDR 3.700.000 - 4.000.000,Setidaknya 1 tahun
Local Sourcing Associate,PT Sinar Nirwana Sari,"Teknik, Lainnya",Karawang - Karawang,Gaji Kompetitif,Setidaknya 1 tahun
Branch Representative,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Sales Executive,PT Transpasific Finance,Audit Intern / Pengawasan,Banda Aceh - Banda Aceh,Gaji Kompetitif,Setidaknya 1 tahun
sales canvaser,PERSOLKELLY Recruitment Indonesia,"Akuntansi, Keuangan",Branch Depok - Depok,Gaji Kompetitif,5 tahun
Leader Produksi (Die Casting),PT Dutagaruda Piranti Prima,Akuntan Perpajakan,Kediri - Kediri,IDR 10.000.000 - 20.000.000,0 tahun
MAIN PLAN ENGINEERING (PERTAMBANGAN),Enforce A,Komunikasi,PT. DUTAGARUDA PIRANTI PRIMA - Jakarta Pusat,IDR 3.500.000 - 4.500.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Banda Aceh,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,10 tahun
Branch Quality Assurance (BQA),PT Bakrieland Development Tbk,"TI, Administrator",Deli Serdang - ,Gaji Kompetitif,Setidaknya 1 tahun
Head of Finance Accounting,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,0 tahun
STAF PAJAK,PT BINA ARTA,Responsibilitas Sosial Perusahaan,TEGAL - Tegal,Gaji Kompetitif,0 tahun
Event & Training Coordinator,PT KMI Wire and Cable Tbk,Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Field Education Consultant (FEC) - Deli Serdang,Maxon Prime Technology,"Teknik, Mesin",head office - Jakarta Timur,Gaji Kompetitif,2 tahun
CIT Programmer (CIP),PT Smart Identification Solutions,Pemasaran (Non-Teknis),head office - Tangerang,Gaji Kompetitif,0 tahun
BRANCH MANAGER TEGAL,PT BSR Indonesia,Juru Masak,head office - Jakarta Utara,Gaji Kompetitif,5 tahun
Social Media Manager,PT Asuransi Reliance Indonesia,Kreatif / Desain,Jakarta Selatan - Prov. DKI-Jakarta,IDR 3.000.000 - 3.500.000,3 tahun
SENIOR ACCOUNT EXECUTIVE,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,PT Asuransi Reliance Indonesia - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
TEKNISI POMPA AIR,PT Intrias Mandiri Sejati (IMS),Penjualan dan Pemasaran,Maumere - Maumere,Gaji Kompetitif,0 tahun
 Sales Executive,PT Imecon Teknindo,Penjualan dan Pemasaran,head office - Prov. DKI-Jakarta,IDR 4.600.000 - 4.700.000,0 tahun
Cook Crew,PT Asiadaya Abadi,Penjualan dan Pemasaran,Kota Bandung - ,IDR 4.000.000 - 4.500.000,0 tahun
Digital Marketing (SEO/SEM/Paid Ads),PT Intrias Mandiri Sejati (IMS),Layanan Pelanggan,head office - Kudus,Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Maumere,PT Grafa Intercontinental,"Teknik, Pertanian",head office - Prov. DKI-Jakarta,IDR 4.600.000 - 4.700.000,2 tahun
SPG/SPB/BA,Solusi Kemasan UMKM PT,Pemasaran Internet,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Sales Agent - Bandung,PT Smart Multi Finance,Kolektor,head office - Jakarta Barat,IDR 2.000.000 - 10.000.000,Setidaknya 1 tahun
Sales Representative (Kudus & Jogja),PT BPR Lestari Banten,Investasi dan Keuangan,PT Smart Multi Finance Tangerang 2 - Tangerang,Gaji Kompetitif,Setidaknya 1 tahun
POLICY SERVICE HELPDESK,PT Recruit First Indonesia,"Akuntansi, Keuangan",Head Office - Tangerang,Gaji Kompetitif,2 tahun
Admin Junior Sales,PT Jala Lintas Media,"Teknik, Mesin",head office - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Sales,Walia Evolution (PT Inti Finance Synergy) ,Konsultan,head office - Bogor,Gaji Kompetitif,2 tahun
Field Collection,PT Gunung Mas Group,Komunikasi,head office - Jakarta Selatan,IDR 6.000.000 - 10.000.000,Setidaknya 1 tahun
Personal Banking Officer,PT BSR Indonesia,Arsitek,head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
GL Support Statutory Audit (Replacement),PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Jakarta Selatan - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
Mechanical Engineering (ME),PT Victory Retailindo,"Akuntansi, Keuangan",Meulaboh - ,Gaji Kompetitif,Setidaknya 1 tahun
VENTURE ASSOCIATE,PT Cikande Indobaja Mandiri,Pemasaran (Non-Teknis),head office - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Community Develoopment / Humas,PT Swapro International,Sumber Daya Manusia,head office - Serang,Gaji Kompetitif,0 tahun
Graphic Designer / Web Designer,PT Elabram Systems,"Teknik, Telekomunikasi",All Jabodetabek - Prov. DKI-Jakarta,IDR 4.000.000 - 4.500.000,0 tahun
Field Education Consultant (FEC) - Meulaboh,Confidential Company,Akuntan Perpajakan,Prov. DKI-Jakarta - Prov. DKI-Jakarta,IDR 8.000.000 - 10.000.000,Setidaknya 1 tahun
Staff Accounting,PT Sinergi Performa Cipta,Sumber Daya Manusia,head office - Mojokerto,Gaji Kompetitif,Setidaknya 1 tahun
MARKETING,PT Dachin Etech Global,Operasi Ritel,head office - Prov. DKI-Jakarta,Gaji Kompetitif,Setidaknya 1 tahun
Tech Recruiter,PT Era Mulya Citra Warna,Penjualan dan Pemasaran,head office - Bekasi,Gaji Kompetitif,3 tahun
Assistant Project Controller,PT Micro Madani Institute,Penjualan dan Pemasaran,PURWOKERTO - Purwokerto,IDR 3.000.000 - 3.500.000,Setidaknya 1 tahun
Tax Supervisor,PT Mitracomm Ekasarana Business Process Service,Penjualan dan Pemasaran,Prov. Jawa Tengah - Prov. Jawa Tengah,Gaji Kompetitif,2 tahun
Creative Support,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,"Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",IDR 4.000.000 - 5.000.000,Setidaknya 1 tahun
Business Development Supervisor,Mesin Kasir Online,Penjualan dan Pemasaran,Muara Enim - ,Gaji Kompetitif,0 tahun
SALES EKSEKUTIF CILACAP,PT Samudra Maju Perkasa,Quality Control (QC),CABANG JAKARTA - Jakarta Pusat,IDR 3.750.000 - 7.000.000,0 tahun
Account Officer (AO),PT Anugerah Graha Bersama,Layanan Pelanggan,PT Berlian Duta Energi Site Kaubun - Samarinda,IDR 8.000.000 - 9.000.000,0 tahun
SALES CANVACING BANDUNG,PT Multireka Surya Utama,Arsitek,head office - Jakarta Pusat,IDR 5.500.000 - 6.500.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Muara Enim,PT BSR Indonesia,Pengembangan Bisnis,head office - Jakarta Selatan,Gaji Kompetitif,Setidaknya 1 tahun
Distributor Channel Area Jakarta,PT Multireka Surya Utama,Arsitek,Lampung - Bandarlampung,Gaji Kompetitif,Setidaknya 1 tahun
MONITORING & CONTROLING,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Selatan,Gaji Kompetitif,2 tahun
Customer Support - Game Online 12 Jam,PT Pradha Karya Perkasa,Manufaktur dan Produksi,Labuhan Batu - ,Gaji Kompetitif,3 tahun
Interior Designer,PT Muliaoffset Packindo,Penjualan dan Pemasaran,head office - Mojokerto,Gaji Kompetitif,2 tahun
 Business Development Lead,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Semarang,Gaji Kompetitif,0 tahun
Civil Engineering,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,Padang Sidimpuan - ,Gaji Kompetitif,2 tahun
Field Education Consultant (FEC) - Labuhanbatu,PT Hive Design,Desainer Grafis Komputer,Jambi - Jambi,Gaji Kompetitif,0 tahun
Kepala Regu Produksi Karung,PT Pradha Karya Perkasa,Penjualan dan Pemasaran,head office - Jakarta,Gaji Kompetitif,0 tahun
Sales Export,PT Easy Management Systems,Manajemen Merk / Produk,head office - Mojokerto,IDR 4.279.000 - 4.279.787,0 tahun
Field Education Consultant (FEC) - Padangsidimpuan,PT Personel Alih Daya ( PERSADA ),Komunikasi,GoWork Menara Standard Chartered - Coworking and Office Space - Jakarta Selatan,IDR 2.000.000 - 2.200.000,Setidaknya 1 tahun
Field Education Consultant (FEC) - Jambi,PT Rekso Nasional Food (McDonald's Indonesia),Operasi Restoran,head office - Jakarta Selatan,IDR 4.400.000 - 5.000.000,2 tahun
Interior Designer,PT Mitra Kreasi Nusantara Sejahtera,Fresh Graduate,Karawang - Karawang,Gaji Kompetitif,0 tahun
Sales,PT Sinar Nirwana Sari,"Teknik, Lainnya",head office - Jakarta Selatan,IDR 4.400.000 - 5.700.000,Setidaknya 1 tahun
Product Operation Intern,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Jakarta Utara,Gaji Kompetitif,0 tahun
DIRECT SALES ,Cubique Visual Indonesia,Desainer Grafis Komputer,Pelalawan - ,Gaji Kompetitif,0 tahun
Crew Restoran - Based Karawang (Grand Taruma),PT Swapro International,Audit Intern / Pengawasan,head office - Jakarta Selatan,IDR 4.416.186 - 5.000.000,3 tahun
Resepsionis,PT Transco Logistik Indonesia,Pemasaran (Non-Teknis),All Jabodetabek - Prov. DKI-Jakarta,IDR 4.000.000 - 4.600.000,0 tahun
Engineering Pertambangan (Drill & Blasting),Sekolah Tara Salvia,Edukasi,head office - Jakarta Utara,Gaji Kompetitif,Setidaknya 1 tahun
Field Education Consultant (FEC) - Pelalawan,PT BSR Indonesia,Pengembangan Bisnis,head office - Tangerang,IDR 3.000.000 - 4.000.000,0 tahun
Staff Design,PT Pradha Karya Perkasa,Manufaktur dan Produksi,head office - Jakarta Pusat,IDR 4.500.000 - 6.500.000,3 tahun
Regional Controller,PT Mitracomm Ekasarana Business Process Service,Sekretaris,head office - Mojokerto,Gaji Kompetitif,2 tahun
Sales Manager - Forwarding,Ariesta Management Consultant,"Akuntansi, Keuangan","Gd The East Lt 16, Jl Lingkar Mega kuningan Jakarta selatan (Kawasan Mega kuningan berada di seberang ITC Kuningan/Mall Ambassador - Prov. DKI-Jakarta",Gaji Kompetitif,Setidaknya 1 tahun
Guru ABK,PT Sinergi Performa Cipta,Penjualan dan Pemasaran,head office - Surabaya,IDR 4.500.000 - 6.000.000,5 tahun
Business Analyst,PT Kaliabang Jaya Pratama,Audit Intern / Pengawasan,Bandar Lampung - Bandarlampung,Gaji Kompetitif,6 tahun
Assistant Manager Produksi,PT Mobile Sarana Sentosa,"TI, Systems Analyst",head office - Bekasi,Gaji Kompetitif,0 tahun
SEKRETARIS,Panel Place International PTe LTD,Komunikasi,head office - Jakarta Barat,Gaji Kompetitif,0 tahun
Accounting,PT Era Mulya Citra Warna,Administrasi,Bandarlampung - Bandarlampung,IDR 200.000 - 1.000.000,2 tahun
Field Education Consultant (FEC) - Bandar Lampung,PT Maxi Konstruksi Indonesia,Juru Gambar,purwakarta - Purwakarta,Gaji Kompetitif,0 tahun
Internal Auditor ,PT Samudra Maju Perkasa,Supir,MAXICON  - Jakarta Utara,Gaji Kompetitif,0 tahun
