Job_Title,Company,Dept,City,Salary,Yrs_of_Exp
Customer Acquisition Specialist (Jakarta),PT Nurco Aruna Mitra,Manajemen Proyek,head office - Tangerang,IDR 4.600.000 - 5.000.000,0 tahun
Project Executive,PT Mitra Adi Persada,Administrasi Export,Head Office Surabaya - Surabaya,Gaji Kompetitif,0 tahun
SPV. SALES EX-IM,PT Swapro International,Penjualan (Teknis),All Jabodetabek - Prov. DKI-Jakarta,Gaji Kompetitif,2 tahun
Sales Industry,PT Transpasific Finance,Administrasi,Branch Tangerang - Tangerang,IDR 4.000.000 - 5.000.000,Setidaknya 1 tahun
Administration Staff - Tangerang,PT Victory Retailindo,"TI, Administrator",head office - Bekasi,Gaji Kompetitif,Setidaknya 1 tahun
Staff EDP,PT Innovation Hongtai Technology,Administrasi,head office - Tangerang,Gaji Kompetitif,0 tahun
ADMIN HRD,PT Sekaya Group Indonesia,Penjualan dan Pemasaran,Bandung - ,IDR 3.000.000 - 6.000.000,Setidaknya 1 tahun
Sales Supervisor,Ew Priority,Administrasi,Head Office - Surabaya,IDR 5.000.000 - 5.500.000,2 tahun
STAFF KANTOR,PT Handal Guna Sarana,Manajemen Operasional,Jakarta - Prov. DKI-Jakarta,IDR 3.000.000 - 8.000.000,0 tahun
Koordinator Operasional/ Gudang,PT Tatarasa Primatama,"TI, Web Developer",head office - Jakarta,Gaji Kompetitif,2 tahun
WEB DEVELOPER,PT Lemo Tatagraha Mas,"Teknik, Elektro ",Makasar - Makassar,Gaji Kompetitif,0 tahun
Mekanik Alat Berat (Reach Stacker dan HMC),PT Sumaco Wahana Utama,Komunikasi,head office - Prov. DKI-Jakarta,Gaji Kompetitif,3 tahun
HRD,PT Mitra Adi Persada,Logistik,Head Office Surabaya - Surabaya,Gaji Kompetitif,3 tahun
DRIVER BII UMUM,PT Global Sarana Sukses,Komunikasi,head office - Jakarta,Gaji Kompetitif,5 tahun
"Sales B2B - Jabodetabek, Bandung, Semarang, Surabaya",PT Rekso Nasional Food (McDonald's Indonesia),Operasi Restoran,Kudus - Kudus,Gaji Kompetitif,0 tahun
Crew Restoran - Based Kudus,Bisnishack Bahagia Mendunia,Tidak disebutkan,head office - Yogyakarta,Gaji Kompetitif,0 tahun
Copywriter,PT Rajawali Anugrah Resources,Penjualan dan Pemasaran,Tangerang - ,IDR 2.500.000 - 3.000.000,2 tahun
Telkom Tangerang Selatan Sales Force,PT Valbury Asia Futures,Penjualan dan Pemasaran,Menara Karya - Jakarta Selatan,IDR 3.500.000 - 5.000.000,0 tahun
Marketing Department,Sumber Daya Menamas Prime Resources,Penjualan dan Pemasaran,head office - Jakarta Selatan,IDR 2.500.000 - 5.000.000,0 tahun
Sales KPR Mortgage Bank CIMB Niaga Jabotabek,Bisnishack Bahagia Mendunia,Periklanan / Promosi,head office - Yogyakarta,IDR 2.000.000 - 3.000.000,Setidaknya 1 tahun
Social Media Marketing,PT Bussan Auto Finance,Pemasaran (Teknis),head office - Jakarta Selatan,Gaji Kompetitif,3 tahun
Account Officer (Pembiayaan Usaha Mikro),PT Elabram Systems,Periklanan / Promosi,Prov. Jawa Tengah - Prov. Jawa Tengah,Gaji Kompetitif,Setidaknya 1 tahun
