Job_Title,City,Yrs_of_Exp,Salary
iOS Developer IT,Surabaya, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Social Media Specialist,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Demand Planner,Jakarta,,
PHP Developer,Makassar, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Kepala Cabang,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.800.000
Senior Project Manager,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Staff Admin (Perempuan),Jakarta, 1 – 3 tahun,
Corporate Strategy and Investments Analyst,Solo, 1 – 3 tahun, IDR 20.000.000 - 75.000.000
Manager Quality Control (QC),Jakarta, 1 – 3 tahun,
Graphic Designer,Surabaya, 1 – 3 tahun,
Account Manager,Denpasar, 1 – 3 tahun, IDR 4.500.000 - 6.500.000
Human Resource Development (HRD),Depok, 1 – 3 tahun, IDR 2.500.000 - 4.000.000
Desginer Motif,Yogyakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Field Compliance Officer Jojga/Solo,"Tambora, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 9.000.000
City Launcher - Bandung Base,Yogyakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
PROJECT MANAGER,"Penjaringan, Jakarta", 3 – 5 tahun,
Social Media and Audience Manager,, 1 – 3 tahun,
Junior Graphic Designer,Jakarta, Kurang dari setahun, IDR 3.000.000 - 6.000.000
Mid Senior Django Developer,"Kuningan, Jakarta", 1 – 3 tahun,
Independent Sales Representative,Jakarta, 1 – 3 tahun,
Sales Manager B2B Yogyakarta,Depok, 1 – 3 tahun,
System Analyst (YOGYAKARTA),Jakarta, 1 – 3 tahun,
Account Manager - Accounting Software (Bandung),Bandung, 3 – 5 tahun,
Account Manager - Accounting Software (Bandung),Jakarta,, IDR 3.500.000 - 4.500.000
IT DEVELOPER,"Kemang, Jakarta",,
Events and Activations Leads,Tanjung Pandan, 1 – 3 tahun,
Copywriter,"Kebon Jeruk, Jakarta", 1 – 3 tahun,
DevOps Engineer,Surabaya, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Fullstack Developer,Surabaya, Kurang dari setahun, IDR 4.400.000 - 4.600.000
Brand Manager,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Procurement Manager,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 11.000.000
SOCIAL SELLER DEVELOPMENT LEADER - INDO,Jakarta, 1 – 3 tahun,
GRAPHIC DESIGN SUPERVISOR,Jakarta, Kurang dari setahun,
Area Sales Development Supervisor (Bogor),Jakarta, Kurang dari setahun,
Area Sales Development Supervisor (Tangerang),Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Area Sales Development Supervisor (Cirebon),Bekasi, 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Area Sales Development Supervisor (Jakarta),Bekasi, 1 – 3 tahun,
UI/UX Designer,Jakarta, Kurang dari setahun, IDR 0 - 600.000
Sales Account Executive,Surabaya, Kurang dari setahun, IDR 3.500.000 - 4.000.000
Senior Net Developer C,Jakarta, 1 – 3 tahun,
Digital Marketing Internship,"Kuningan, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Junior Fashion Designer,Jakarta, 1 – 3 tahun,
Finance,Jakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
UI/UX Designer,"Tanah Abang, Jakarta", 1 – 3 tahun,
Agri Feed & Nutrition Scientist,Jakarta, 1 – 3 tahun,
(mid) Game Programmer,Yogyakarta, 1 – 3 tahun, IDR 5.700.000
Account Manager,"Mampang Prapatan, Jakarta", 1 – 3 tahun,
Creative Staff,"Pademangan, Jakarta", 1 – 3 tahun,
Account Executive,Jakarta, 3 – 5 tahun,
Technical Writer,Jakarta, 1 – 3 tahun,
Fullstack Developer,"Kebon Jeruk, Jakarta", 1 – 3 tahun,
HRD + Personal Assistant,Jakarta, 1 – 3 tahun,
Application Engineer,Jakarta, 1 – 3 tahun,
Content Creator,"Cilandak, Jakarta", 3 – 5 tahun, IDR 48.000.000 - 72.000.000
Senior Data Analyst,"Menteng, Jakarta", 1 – 3 tahun,
Finance Manager Retail,Jakarta, 1 – 3 tahun,
Full Stack Developer,"Kelapa Gading, Jakarta", Kurang dari setahun,
Marketing Sales,"Kuningan, Jakarta", Kurang dari setahun,
Content Creator (Fashion Streetwear E-Comm),Jakarta, Kurang dari setahun, IDR 2.000.000 - 2.500.000
QA Engineer,Jakarta, 5 – 10 tahun, IDR 25.000.000 - 35.000.100
Senior Tax Officer,Surabaya, 3 – 5 tahun,
IT Front End Developer,Jakarta, 1 – 3 tahun,
Accountant,Yogyakarta, 1 – 3 tahun,
IT Technical Lead,Batam, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Social Media and Digital Marketing Specialist,Depok, 1 – 3 tahun,
Marketing Administration,Jakarta, 1 – 3 tahun,
Personal Trainer (Gym),Jakarta, 1 – 3 tahun, IDR 7.000.000 - 9.000.000
Software Engineer,Jakarta, Kurang dari setahun, IDR 1.500.000 - 2.000.000
Technical Project Manager,Jakarta,,
Telemarketing Intern,Bogor,,
Admin Compliance,Tangerang, Kurang dari setahun, IDR 4.000.000 - 5.000.000
GA Senior Staff,Jakarta, Kurang dari setahun, IDR 4.000.000 - 5.000.000
Android (Kotlin) Developer,, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
Senior Backend Developer,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Chef de Partie,Bekasi, 3 – 5 tahun, IDR 15.000.000 - 20.000.000
Finance Associate,Jakarta, 1 – 3 tahun, IDR 42.000.000 - 48.000.000
Operations and Supply Specialist,Jakarta,, IDR 500.000 - 5.000.000
Marketing Executive,Bandung,,
VP of Finance,Jakarta,, IDR 500.000 - 5.000.000
Full Stack Engineer,Jakarta,,
ACCOUNT EXECUTIVE,"Kuningan, Jakarta", Kurang dari setahun,
Sales Manager,South Tangerang, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Marketing Manager,Jakarta, 3 – 5 tahun,Login to view estimated salary by Glints.
Account Manager,"Mampang Prapatan, Jakarta", 5 – 10 tahun,
Sales Manager,"Kebon Jeruk, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Sekretaris,Kuta, 1 – 3 tahun, IDR 6.000.000 - 8.500.000
Admin Depo,Jakarta, 1 – 3 tahun,
Internship Backend Developer,Bandung, Kurang dari setahun, IDR 5.000.000 - 6.000.000
Business Development - Pontianak,Jakarta, 1 – 3 tahun, IDR 0 - 10.000.000
Business Development - Banjarmasin,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 7.000.000
JAVA DEVELOPER,Jakarta, 5 – 10 tahun,
Department Head of Commercial ,Jakarta, Kurang dari setahun, IDR 2.700.000 - 3.700.000
Credit Risk Analyst,Palembang, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Sales KPR Mortgage Bank CIMB NIAGA  JABODETABEK,Bandung, 3 – 5 tahun, IDR 8.000.000 - 10.000.000
EdTech Illustrator Lead ,, 1 – 3 tahun,
Mobile Developer,Surabaya, 3 – 5 tahun, IDR 8.000.000 - 11.000.000
EdTech Animator Lead ,Jakarta, 3 – 5 tahun,
Delivery Manager,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
ACCOUNTING STAFF,"Pulo Gadung, Jakarta", 1 – 3 tahun,
Staff HRD,"Senayan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 9.000.000
Dev Ops Engineer,Jakarta, 3 – 5 tahun,
SPV Sales - Sumbagsel,Jakarta, 3 – 5 tahun,
SPV Sales - Sumbagsel,Jayapura, 1 – 3 tahun, IDR 3.300.000 - 3.600.000
KOL Specialist,Makassar, 5 – 10 tahun,
KOL SPV ,Jakarta,,
Regulatory Reporting and Compliance Officer,"Kebayoran Baru, Jakarta", 1 – 3 tahun,
Frontend Web Developer Officer,Bekasi, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Senior Web Developer,Bandung, 1 – 3 tahun,
Legal and Administration Volunteer (Paid Program),Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Tiktok Content Creator,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Front End Developer,"Duren Sawit, Jakarta", Kurang dari setahun, IDR 6.000.000 - 8.000.000
Account executive (English CV only),Trenggalek, 3 – 5 tahun,
Business Staff,Jakarta, 3 – 5 tahun,
Video Editor,Tangerang, 3 – 5 tahun,
SALES TAKE ORDER,Jakarta, 3 – 5 tahun,
Product Designer,"Kebon Jeruk, Jakarta", 5 – 10 tahun,
Account Manager,Jakarta, 1 – 3 tahun, IDR 14.000.000 - 16.000.000
Staff Accounting,Jakarta, 1 – 3 tahun, IDR 16.000.000 - 23.000.000
UI/Graphic Designer cum Photographer,Bandung, 1 – 3 tahun,
Customer Support,Jakarta, 3 – 5 tahun,
KEPALA CABANG (AREA SULAWESI),Jakarta, 3 – 5 tahun,
Account Executive,Jakarta, 3 – 5 tahun,
Business Development Associate,Jakarta, 3 – 5 tahun,
B2B Sales - Contract Based,Bandung, 3 – 5 tahun,
Software System Analyst,Jakarta, 3 – 5 tahun,
Creative Manager,Batam, 5 – 10 tahun, IDR 10.000.000 - 12.000.000
Software Quality Engineer,Sukoharjo,, IDR 1.000.000 - 1.500.000
WordPress Developer,Sukoharjo,,
WordPress Developer,Jakarta, Kurang dari setahun, IDR 4.500.000 - 5.500.000
Full Stack Programmer,"Senayan, Jakarta", 1 – 3 tahun,
WordPress Developer,Bogor, Kurang dari setahun, IDR 4.500.000 - 5.000.000
WordPress Developer,Jakarta, 1 – 3 tahun,
WordPress Developer,Tangerang, 1 – 3 tahun,
Mobile Developer,Jakarta, 1 – 3 tahun,
Mobile Developer,Jakarta, Kurang dari setahun, IDR 4.500.000 - 5.500.000
Mobile Developer,Yogyakarta,, IDR 3.500.000
Mobile Developer,"Mampang Prapatan, Jakarta",,
Mobile Developer,Bantul, Kurang dari setahun,
Frontend Engineer,Kediri, 1 – 3 tahun,
Frontend Engineer,, 1 – 3 tahun,
Frontend Engineer,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 14.000.000
Frontend Engineer,, 1 – 3 tahun,
Frontend Engineer,Bandung, 1 – 3 tahun,
Backend Engineer,Tangerang, 5 – 10 tahun, IDR 17.000.000 - 25.000.000
Backend Engineer,Jakarta, 1 – 3 tahun,
Backend Engineer,Bandung, 1 – 3 tahun,
Backend Engineer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Fullstack Engineer,"Cengkareng, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Fullstack Engineer,Jakarta, 1 – 3 tahun,
Fullstack Engineer,, 1 – 3 tahun, IDR 6.000.000 - 10.000.000
Account Executive,Jakarta, 1 – 3 tahun,
Fullstack Engineer,, 5 – 10 tahun,Login to view estimated salary by Glints.
Fullstack Engineer,Jakarta, 1 – 3 tahun, IDR 3.000.000 - 4.500.000
Backend Java Programmer,Jakarta, Kurang dari setahun, IDR 4.500.000 - 7.000.000
Software Project Manager,Jakarta, Kurang dari setahun,
Tech Recruiter,Jakarta, 3 – 5 tahun,
Market Researcher,"Gambir, Jakarta", 3 – 5 tahun,
Sales Executive,Bandung, Kurang dari setahun, IDR 1.500.000
Mobile App Developer Flutter,"Kelapa Gading, Jakarta", 1 – 3 tahun,
Data Scientist / Analyst,Jakarta, 3 – 5 tahun,
Back End Developer,Jakarta, 3 – 5 tahun,
Backend Developer,Solo, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Frontend Developer,"Cilandak, Jakarta", 1 – 3 tahun, IDR 3.800.000 - 5.000.000
Digital Marketing Specialist,Surabaya, 3 – 5 tahun,
Supervisor Produksi,Serpong, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Social Media Specialist For Skincare Brand,Bogor, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Frontend Developer,Bogor, 5 – 10 tahun,
Backend Developer,"Kuningan, Jakarta", 5 – 10 tahun,
Big Data Consultant,Surabaya, Kurang dari setahun,
PENASEHAT KEUANGAN,Bandung, 3 – 5 tahun,
Data Analyst,Yogyakarta, 1 – 3 tahun,
Backend Developer,Bandung, 3 – 5 tahun,
Business Development ,Jakarta, 3 – 5 tahun,
Android Developer,Jakarta, Kurang dari setahun, IDR 2.500.000 - 5.000.000
TikTok Talent Internship,Bandung, 1 – 3 tahun,
WAREHOUSE STAFF (Penempatan Madiun),Denpasar, Kurang dari setahun,
Finance and Admin,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
 Intern Software Engineer (eCommerce/Marketing Services),  NaN, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Electrical Power Engineer,Yogyakarta, 3 – 5 tahun, IDR 10.000.000 - 15.000.000
Sales Representative (Remote work) All Indonesia,Yogyakarta, 3 – 5 tahun,
Desain Grafis,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
KOL Specialist ,Bandung, Kurang dari setahun,Login to view estimated salary by Glints.
IT Operation Manager ,"Kebon Jeruk, Jakarta", 5 – 10 tahun, IDR 8.000.000 - 15.000.000
PROCUREMENT,Jakarta, Kurang dari setahun, IDR 4.750.000 - 5.000.000
Associate Product Manager,Jakarta, 5 – 10 tahun, IDR 8.000.000 - 15.000.000
Web Developer,Batam, 5 – 10 tahun, IDR 18.000.000 - 20.000.000
Pre-Sales support ,Batam, Kurang dari setahun,
Junior Buyer homeliving,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Front End Developer - Fulltime,"Mampang Prapatan, Jakarta", 3 – 5 tahun, IDR 10.000.000 - 20.000.000
Backend Engineer,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 10.000.000
Web Developer,Tabanan, 3 – 5 tahun, IDR 7.000.000 - 10.000.000
Junior Marketing Communication,Bogor, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Vue.js Developer,Tangerang, 3 – 5 tahun,
Technical Project Manager,Cirebon, 1 – 3 tahun,
Cloud Engineer,Jakarta, 3 – 5 tahun, IDR 4.000.000 - 6.000.000
Finance Supervisor,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 10.000.000
Net Developer - Automotive Industry,Tangerang, Kurang dari setahun, IDR 1.000.000 - 1.500.000
System Analyst,Jakarta, Kurang dari setahun, IDR 2.000.000 - 5.000.000
Software Quality Assurance - Intensive Probation,"Kalideres, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Sales Executive,, 1 – 3 tahun, IDR 5.000.000 - 100.000.000
Human Capital Management Vice President,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.900.000 - 4.200.000
HR Manager,"Kebayoran Baru, Jakarta", Kurang dari setahun, IDR 2.000.000 - 2.500.000
English/Mandarin Interpreter cum Customer Service (Remote work),"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 3.500.000
Accounting Supervisor,Jakarta, 1 – 3 tahun,
Search Engine Optimizer (SEO) Staff,Bandung, 1 – 3 tahun, IDR 45.000.000 - 65.000.000
Recruitment and Training  Supervisor ,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 4.500.000
Junior Fullstack Developer (PHP),Jakarta, 1 – 3 tahun,
center manager,"Cakung, Jakarta", Kurang dari setahun, IDR 3.000.000 - 3.200.000
Cloud Database Management Specialist,, 1 – 3 tahun,
Logistic Admin ,Jakarta, 1 – 3 tahun,
Account Executive,Jakarta, 1 – 3 tahun,
Staff Accounting,Jakarta, Kurang dari setahun, IDR 4.500.000 - 5.000.000
Business Development,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Android Developer,Surabaya, 1 – 3 tahun,
General Manager,Bandung, 1 – 3 tahun,
Sales Project B2B (Transportasi dan Logistik),"SCBD, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Admin Compliance (Temporary),Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
IT Business Analyst,Tangerang, 1 – 3 tahun,
SOSMED MARKETING MANAGER,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Full stack Developer,"Cilandak, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 8.000.000
DevOps Engineer,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Backend Developer,Tangerang, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Account Executive,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Sales Marketing Intern,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Business Partnership Intern,Tangerang, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Technical Writer,"Duren Sawit, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Associate Product Manager,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Doctor for Sliming Treatment,Batam, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Staff Penagihan,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Senior Software Engineer,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Flutter Developer Freelance - Remote,Cikarang, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Android Developer IT,Cikarang, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Digital Marketing Engineer (Junior),Yogyakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Mekanik Mobil Magang / Intern,Serpong, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Operational Manager at PT HALIM INTI GAHARA,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Accounts Executive (AP) (Batam Indonesia),Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Drafter,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Sales Marketplace/ E-Commerce (Shopee),Jakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Sales Administration,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 8.000.000
Content Creator,Yogyakarta, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Product Manager,Palembang, 1 – 3 tahun, IDR 3.500.000 - 8.000.000
Instrumentation-Electronic Estimator,Jakarta, 1 – 3 tahun,
Motion Graphic Designer,Tangerang, Kurang dari setahun,
Corporate Secretary,Jakarta, 1 – 3 tahun,
Business Intelligence,Jakarta, 1 – 3 tahun,
Account Manager,Bojonegoro, Kurang dari setahun,Login to view estimated salary by Glints.
Database Administrator,Yogyakarta, 1 – 3 tahun,
Head of Ecommerce,Tangerang, 1 – 3 tahun,
Tech Lead,Pontianak, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Dot Net Developer,Banjarmasin, 1 – 3 tahun,
Software Engineer/Technical Consultant - Junior level,Jakarta, 1 – 3 tahun,
Logistic Manager,Surabaya, 1 – 3 tahun,
Copy Writer,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
DevOps Engineer - AWS,Jakarta, 1 – 3 tahun, IDR 3.500.000
Programmer Frontend Web,Surabaya, 1 – 3 tahun,
3D Game Artist Intern,Tangerang, 1 – 3 tahun,
Brand Marketing Manager,Surabaya, 1 – 3 tahun, IDR 15.000.000 - 28.000.000
District Sales Promotion Manager,Jakarta, 1 – 3 tahun, IDR 3.500.000 - 100.000.000
Quality Assurance,Yogyakarta, 1 – 3 tahun,
Senior Fullstack Developer (PHP),Tangerang, 3 – 5 tahun,Login to view estimated salary by Glints.
Sales Executive,Jakarta,,
Technical Writer,Bengkulu, 1 – 3 tahun,
Back-end Web Engineer,Jambi City, Kurang dari setahun,
Mobile Engineer,"Tambora, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Telesales B2B,Jakarta,,
Inside-Sales Executive,Jakarta, Kurang dari setahun, IDR 1.000.000
Admin Purchasing,Malang, 1 – 3 tahun,
Back End Developer IT,"Ciracas, Jakarta", Kurang dari setahun, IDR 6.000.000 - 10.000.000
Electrical Estimator,Bandung, 1 – 3 tahun, IDR 2.500.000 - 2.500.100
REAL ESTATE AGENT (KOTA BARU PARAHYANGAN),Bekasi, 1 – 3 tahun,
Legal Manager,Yogyakarta, 3 – 5 tahun,
Marketing Communication Lead,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Legal Senior Associate,Tangerang, 1 – 3 tahun,
Sales Marketing Part Time,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 10.000.000
Management Development Program - IT,Denpasar, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
Creative Media Specialist Leader,Tangerang, 1 – 3 tahun,
Content Marketing Executive,"Kalideres, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Staff Admin Inventory & Operations,Tangerang, Kurang dari setahun, IDR 6.000.000 - 8.000.000
Middle Mobile Developer (Flutter),Tangerang, 1 – 3 tahun,
Hub Admin Intern - Magelang,Malang, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Software Trainer,Makassar, 1 – 3 tahun,
Middle Fullstack Developer (PHP),Bandung, 1 – 3 tahun,
Account Executive / Sales,"Grogol Petamburan, Jakarta", 3 – 5 tahun,
Human Resource Manager,Jakarta, 3 – 5 tahun,
Software Engineer,Semarang, 1 – 3 tahun, IDR 5.000.000 - 7.500.000
ETL Developer,Jakarta, 1 – 3 tahun,
ETL Developer,Jakarta, Kurang dari setahun,
Game Programmer,Denpasar, 1 – 3 tahun, IDR 4.000.000
Sales Development Representative (SDR),Surabaya, 3 – 5 tahun,
Website  Developer (fullstack),Bandung, 1 – 3 tahun,
Sales Officer (SMA/SMK),Yogyakarta, Kurang dari setahun, IDR 17.000.000
PHP BackEnd Developer ,Jakarta, 3 – 5 tahun,
Finance Manager,Semarang, Kurang dari setahun, IDR 5.000.000 - 17.000.000
Social Media & Audience Manager,Denpasar, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Business Developement ,Surabaya, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Back End Quality Assurance ,Yogyakarta, 3 – 5 tahun,
Lowongan Kerja Videographer (Magang),Jakarta, 3 – 5 tahun, IDR 10.000.000 - 25.000.000
Digital Marketing Intern,Semarang, Kurang dari setahun, IDR 4.000.000 - 5.000.000
Net Developer - Insurance,Denpasar, 1 – 3 tahun,
Senior Sales Manager,Yogyakarta, 1 – 3 tahun,
Laravel Web Developer (Full onsite Tjg Priok Jakarta Utara),Yogyakarta, 1 – 3 tahun,
Senior Frontend Engineer - React,Jakarta, 3 – 5 tahun,
Senior Backend Engineer - Express JS,Semarang, 1 – 3 tahun,
Customer Sales Officer PT Zalmon Lestari Maha Negeri,Denpasar, 1 – 3 tahun,Login to view estimated salary by Glints.
BackEnd Developer (Laravel),Surabaya, 1 – 3 tahun,
E-commerce SPV,Jakarta, 1 – 3 tahun,
Cloud Engineer,Semarang, 3 – 5 tahun, IDR 15.000.000 - 20.000.000
Staff Logistik Exim Surabaya,Denpasar, 1 – 3 tahun,Login to view estimated salary by Glints.
Business Intelligence Manager,Surabaya, 1 – 3 tahun,
Growth Marketing ,Yogyakarta, 1 – 3 tahun,
Content Creator,Jakarta, 1 – 3 tahun,
Community & Operations Lead,Jakarta, Kurang dari setahun,
Accounting Private Tutor,Semarang, Kurang dari setahun,
Intern Copywriting and Content Planner ,Bandung, 1 – 3 tahun,
Admin Workshop,Yogyakarta, 1 – 3 tahun,Login to view estimated salary by Glints.
Product Manager,Jakarta, Kurang dari setahun,
SOFTWARE PROGRAMMER,Yogyakarta, Kurang dari setahun, IDR 4.000.000 - 5.000.000
Account Executive,Jakarta, 3 – 5 tahun, IDR 20.000.000 - 25.000.000
Customer Consultant (Wanita),Bandung, 1 – 3 tahun, IDR 4.300.000 - 6.500.000
Centre Manager - North Jakarta,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 7.000.000
Business Development Specialist,"Kuningan, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 5.000.000
Full-Stack Developer,Jakarta, Kurang dari setahun,
DevOps Engineer,Jakarta, 1 – 3 tahun, IDR 8.000.000 - 12.000.000
Backend Developer (NodeJS),Jakarta, 1 – 3 tahun, SGD 500 - 700
Fullstack Developer (NodeJS + ReactJS),Bogor, 3 – 5 tahun,
Nutritionist Advisor,Cikarang, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Account Executive,Jakarta, Kurang dari setahun,
Accountant (Part Time),Jakarta, 1 – 3 tahun, IDR 2.500.000 - 5.000.000
SALES GYM CEMPAKA PUTIH,"Kuningan, Jakarta", 3 – 5 tahun,
Regional Agronomist Manager (Central and East Java),Jakarta, 5 – 10 tahun, IDR 10.000.000 - 12.000.000
Web Developer,Jakarta, 1 – 3 tahun, IDR 1.000.000
content creator ,Jakarta, 3 – 5 tahun,
Farmer Relation Supervisor - Nganjuk,Yogyakarta, 3 – 5 tahun,
Head of Sales,, 3 – 5 tahun,
Marketing Manager,Jakarta, 1 – 3 tahun,
Social Media Specialist,Jakarta, 1 – 3 tahun,
Junior Developer,Madiun, 5 – 10 tahun, IDR 25.000.000 - 30.000.000
Staff Merchant ACQ and Relationship,Batam, 1 – 3 tahun,Login to view estimated salary by Glints.
(Jr) Frontend Engineer,, 1 – 3 tahun,
STAFF ADMINISTRASI - BALIKPAPAN ,"Kelapa Gading, Jakarta", 3 – 5 tahun, IDR 12.000.000 - 15.000.000
Account Manager ,Nambo, 1 – 3 tahun, IDR 5.500.000 - 7.000.000
Digital Marketing Staff,Batam, 3 – 5 tahun, IDR 30.000.000 - 45.000.000
Customer Service Support,Solo, 1 – 3 tahun,
Face to Face Fundraiser (Bali),Jakarta,,
Face to Face Fundraiser (Surabaya),Jakarta, 3 – 5 tahun, IDR 5.000.000 - 10.000.000
Mid. Technical Consultant,Madiun, 3 – 5 tahun,
QA Engineer (Automation),Malang, 1 – 3 tahun, IDR 4.000.000 - 7.000.000
Staff Business Development,"Cengkareng, Jakarta", 5 – 10 tahun, IDR 8.000.000 - 10.000.000
Industrial Engineer,"Tebet, Jakarta", 1 – 3 tahun,
Backend Developer (Java or Golang),"Kebayoran Lama, Jakarta", 1 – 3 tahun,
Sales Manager,Jakarta, 1 – 3 tahun,
Sales Manager,Bandung, Kurang dari setahun, IDR 6.000.000 - 8.000.000
Application Engineer,"Cilandak, Jakarta", 1 – 3 tahun,
host live streaming,Jakarta, 1 – 3 tahun,
Software Engineer Intern Batch 6,Tangerang, Kurang dari setahun,
Project Manager ,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 7.000.100
ACCOUNTING SUPERVISOR,Jakarta, 3 – 5 tahun, IDR 8.000.000 - 9.000.000
Senior Backend Developer (Java Spring Boot),Jakarta, Kurang dari setahun,
Senior Frontend Developer (Vue js),"Kuningan, Jakarta", 5 – 10 tahun,
Social Media and Digital Specialist ,Tangerang, 5 – 10 tahun,
Wordpress Developer  ,Yogyakarta, 5 – 10 tahun,
IT Business Analyst,"Sunter, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.500.000
Software Engineer (Node.js),Jakarta, Kurang dari setahun,
Graphic Design,Jakarta, 3 – 5 tahun, IDR 7.000.000 - 8.000.000
Senior Mobile Developer,Jakarta, 1 – 3 tahun, IDR 6.000.000 - 7.000.000
Content Creator,"Pademangan, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 4.500.000
UI/ UX Designer,Tangerang, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Sr. Game Programmer,Tangerang, Kurang dari setahun,
Fullstack Developer,Jakarta, Kurang dari setahun, IDR 5.000.000
Frontend Engineer,Bandung, 3 – 5 tahun, IDR 6.000.000 - 8.000.000
Social Media and Marketing Intern,"Tanah Abang, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Backend Engineer,Jakarta, 5 – 10 tahun,
