Job_Title,City,Yrs_of_Exp,Salary
Warehouse Head,Cikarang,,
Staff Administrasi - Jakarta,Bandung, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Web Full Stack Developer / Programmer,Jakarta, 1 – 3 tahun, IDR 4.600.000 - 5.500.000
Admin,, 1 – 3 tahun,
Legal Officer,"Grogol Petamburan, Jakarta", 1 – 3 tahun,
Social Media Specialist,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Corporate Secretary,"Kuningan, Jakarta", 1 – 3 tahun, IDR 5.000.000
HR Recruiter Intern,Surabaya, 1 – 3 tahun,
Product Manager,Jakarta, 1 – 3 tahun, IDR 2.500.000 - 4.000.000
Customer Service Officer,Makassar, 1 – 3 tahun,
Quality Control,"Cilandak, Jakarta", 1 – 3 tahun,
Admin Staff,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
HR ADMIN,Tangerang, 1 – 3 tahun, IDR 4.000.000 - 5.000.000
Public Relationship,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Admin Procurement,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 10.000.000
HRGA Staff,Bekasi,,
Social Media Specialist,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 3.500.000 - 4.500.000
WAREHOUSE & LOGISTIC,Surabaya, Kurang dari setahun, IDR 3.000.000 - 4.000.000
Junior Internal Auditor,Yogyakarta, 1 – 3 tahun, IDR 4.200.000 - 5.000.000
Event Specialis,, Kurang dari setahun,
Quality Assurance Engineer,Bandung, 1 – 3 tahun, IDR 3.500.000 - 5.000.000
Digital Marketing / Creative Marketing / Content Creator,Tangerang, 3 – 5 tahun, IDR 5.000.000 - 8.000.000
Social Media Specialist,"Cengkareng, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Recruitment Specialist,Jakarta, 1 – 3 tahun, IDR 3.500.000
Admin operational,Bekasi, 1 – 3 tahun, IDR 5.000.000 - 7.000.000
Junior of Marketing Communication,"Tanah Abang, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Human Resource and Legal,"Kembangan, Jakarta", 1 – 3 tahun, IDR 6.000.000 - 8.500.000
Social Media Specialist,"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 6.500.000 - 8.000.000
Purchasing,Jakarta, 1 – 3 tahun, IDR 9.000.000
Legal Compliance Officer,Jakarta, 1 – 3 tahun, IDR 6.000.000
ADMIN ONLINE SHOP  (SALES) - Work From Home,"Tebet, Jakarta", 1 – 3 tahun, IDR 2.000.000 - 3.000.000
Secretary,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 7.000.000
Accounting Officer,Jakarta, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
MT SALES SUPERVISOR MEDAN,Bekasi, 1 – 3 tahun, IDR 4.500.000 - 5.500.000
Reporter (News),"Grogol Petamburan, Jakarta", 1 – 3 tahun, IDR 3.400.000 - 5.000.000
Purchasing Supervisor,"Penjaringan, Jakarta", 1 – 3 tahun, IDR 6.500.000 - 7.500.000
Internship Programmer,Jakarta, Kurang dari setahun,
Senior UI/UX Web/App Designer (Remote),"Kuningan, Jakarta", 1 – 3 tahun,
Web Developer,"Kebon Jeruk, Jakarta", 1 – 3 tahun, IDR 6.500.000 - 7.500.000
Junior Digital Marketing,"Kebayoran Baru, Jakarta", Kurang dari setahun,
Operational,Tangerang, Kurang dari setahun,
IT Infrastructure Staff,"Cengkareng, Jakarta", 1 – 3 tahun,Login to view estimated salary by Glints.
Call Center Agent (English),"Jagakarsa, Jakarta", Kurang dari setahun, IDR 1.000.000 - 2.000.000
Administrasi,Medan, 5 – 10 tahun, IDR 488.000.000 - 1.466.000.000
Office Assistant,"Pasar Minggu, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 9.000.000
Business Development Career Consultant (Contract-Based),Jakarta, 1 – 3 tahun, IDR 4.500.000 - 6.000.000
Product Analyst Intern,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 4.000.000
Data Scientist,Jakarta, Kurang dari setahun,
DIGITAL MARKETING MANAGER,Jakarta,,
IT Bootcamp ,Jakarta, Kurang dari setahun,
Finance and Accounting Admin Officer,"Penjaringan, Jakarta", 1 – 3 tahun,
FLOOR CREW RESTAURANT,"Cengkareng, Jakarta", Kurang dari setahun,
Web Developer,Jakarta, Kurang dari setahun, IDR 2.000.000 - 3.000.000
UX Designer,, Kurang dari setahun, IDR 5.000.000 - 7.800.000
Social Media Specialist (FULL REMOTE),Surabaya, 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Waiter,Jakarta, Kurang dari setahun, IDR 5.000.000
Brand Communication Specialist,Jakarta, 3 – 5 tahun,
Admin Purchasing,Jakarta, Kurang dari setahun, IDR 1.800.000 - 2.500.000
Senior Partnership/Sales,Jakarta, 1 – 3 tahun, IDR 5.000.000 - 8.000.000
Product Manager,Surabaya, 1 – 3 tahun, IDR 4.000.000 - 8.000.000
Kasir,Jakarta, 1 – 3 tahun,
Accounting Associate,Jakarta, 1 – 3 tahun, IDR 4.230.800
Teknisi Elektromedik,Bandung, 1 – 3 tahun,
HR Recruitment,Jakarta, 1 – 3 tahun,
Business Development,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Creative Graphic Designer,Bandung, 1 – 3 tahun,Login to view estimated salary by Glints.
Admin Accounting,Serpong, 1 – 3 tahun,Login to view estimated salary by Glints.
HRD Executive,Jakarta, Kurang dari setahun, IDR 4.000.000 - 8.000.000
Finance Accounting Staff,Tangerang,,
Full Time Barista,"Setiabudi, Jakarta", 1 – 3 tahun,
E-commerce Marketing Staff,Jakarta, 1 – 3 tahun, IDR 4.000.000 - 10.000.000
Human Resource Intern,Jakarta, 1 – 3 tahun, IDR 1.500.000 - 4.000.000
Customer Service,Jakarta, 1 – 3 tahun, IDR 2.500.000 - 3.500.000
Business Development Manager,"Senopati, Jakarta", 1 – 3 tahun, IDR 7.000.000 - 8.000.000
Content Creation Intern,, 1 – 3 tahun,
Kepala Accounting dan Kepala Administrasi (Fresh Graduate),Bandung, Kurang dari setahun,
Recruitment Staff,Depok, Kurang dari setahun, IDR 6.000.000 - 6.500.000
Social Media Specialist,Bandung, Kurang dari setahun,
Internship Graphic Design,Jakarta, Kurang dari setahun,
SUPPORT IT,Senayan, 5 – 10 tahun,Login to view estimated salary by Glints.
Social Media Intern,Jakarta, Kurang dari setahun,
Admin Gudang,Jakarta, Kurang dari setahun,
Link Building SEO - Guest Blog Post writer - Remote,"Cengkareng, Jakarta", Kurang dari setahun, IDR 4.500.000
SALES STAFF,Tangerang, 3 – 5 tahun, IDR 6.000.000 - 9.000.000
Legal Intern,Sidoarjo, Kurang dari setahun, IDR 1.000.000 - 1.500.000
UI/UX Designer (Senior),Jakarta,, IDR 2.500.000 - 5.000.000
Business Operations (E-Commerce),"Kebon Jeruk, Jakarta",,
Sales Admin Online,Jakarta, Kurang dari setahun,
Shopkeeper,"Cakung, Jakarta", Kurang dari setahun,
Freelance Surveyor [Palembang],"Senayan, Jakarta", 1 – 3 tahun, IDR 3.000.000 - 8.000.000
Graphic Design (REMOTE),"Kebayoran Lama, Jakarta", 1 – 3 tahun, IDR 5.000.000 - 6.000.000
Staff Legal Litigasi,Tangerang, Kurang dari setahun,
Senior Graphic Designer,, 3 – 5 tahun, IDR 8.000.000 - 12.000.000
Online Marketplace / E-Commerce Admin,Bandung, 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Receptionist,Tangerang, Kurang dari setahun,Login to view estimated salary by Glints.
Packing Staff,Jakarta, 1 – 3 tahun, IDR 2.000.000 - 3.500.000
UI/UX Designer,"Kemayoran, Jakarta", Kurang dari setahun,
Admin MIS ,Jakarta, Kurang dari setahun,
Data Analyst Intern,"Senopati, Jakarta", 1 – 3 tahun, IDR 5.000.000
TEKNISI,Surabaya, 3 – 5 tahun, IDR 7.000.000 - 9.000.000
Creative Designer,"Gambir, Jakarta", Kurang dari setahun,
Front End Developer Intern,Bandung, 1 – 3 tahun,
Graphic Designer,Palembang, 1 – 3 tahun,
Front End Developer Intern,Tangerang, 3 – 5 tahun,Login to view estimated salary by Glints.
STAFF MARKETING EXPORT IMPORT,Surabaya, 1 – 3 tahun, IDR 4.500.000 - 4.600.000
Junior UI/UX,Jakarta, Kurang dari setahun,
Community manager,South Tangerang, 1 – 3 tahun, IDR 4.500.000 - 5.000.000
Social media and graphic designer,"Blok M, Jakarta", 1 – 3 tahun, IDR 4.000.000 - 6.000.000
Digital Marketing Staff,Tangerang, Kurang dari setahun, IDR 1.500.000
